Feature_name;Counts;Chr;Start;End;Strand;Type;CPM
N16961_00440;0;NC_002505.1;84768;85016;+;cds;0
N16961_00445;0;NC_002505.1;85020;85421;+;cds;0
N16961_00450;0;NC_002505.1;85510;86262;+;cds;0
N16961_00455;0;NC_002505.1;86574;87575;+;cds;0
N16961_00460;0;NC_002505.1;87681;89036;-;cds;0
N16961_00465;0;NC_002505.1;89116;89928;-;cds;0
N16961_00470;0;NC_002505.1;90013;90642;-;cds;0
N16961_00475;0;NC_002505.1;90962;93388;+;cds;0
N16961_00480;0;NC_002505.1;93464;94318;-;cds;0
N16961_00485;0;NC_002505.1;94319;94858;-;cds;0
N16961_00490;0;NC_002505.1;95062;95472;+;cds;0
N16961_00495;0;NC_002505.1;95592;97571;-;cds;0
N16961_00500;0;NC_002505.1;97946;98779;-;cds;0
N16961_00505;0;NC_002505.1;98786;99106;-;cds;0
N16961_00510;0;NC_002505.1;99867;100634;-;cds;0
N16961_00515;0;NC_002505.1;100811;101854;+;cds;0
N16961_00520;0;NC_002505.1;101961;102389;+;cds;0
N16961_00530;0;NC_002505.1;103098;105902;+;cds;0
N16961_00540;0;NC_002505.1;106649;107311;-;cds;0
N16961_00545;0;NC_002505.1;107463;108080;+;cds;0
N16961_00550;0;NC_002505.1;108282;108920;+;cds;0
N16961_00555;0;NC_002505.1;108920;109468;+;cds;0
N16961_00560;0;NC_002505.1;109478;109966;+;cds;0
N16961_00565;0;NC_002505.1;110105;111493;+;cds;0
N16961_00570;0;NC_002505.1;111557;112753;-;cds;0
N16961_00575;0;NC_002505.1;112750;113949;-;cds;0
N16961_00580;0;NC_002505.1;113933;114700;-;cds;0
N16961_00585;0;NC_002505.1;114761;115696;-;cds;0
N16961_00590;0;NC_002505.1;115930;118584;+;cds;0
N16961_00595;0;NC_002505.1;118690;119004;-;cds;0
N16961_00600;0;NC_002505.1;119229;120482;+;cds;0
N16961_00605;0;NC_002505.1;120494;121324;+;cds;0
N16961_00610;0;NC_002505.1;121338;122036;+;cds;0
N16961_00615;0;NC_002505.1;122005;122940;+;cds;0
N16961_00620;0;NC_002505.1;122943;123662;+;cds;0
N16961_00625;0;NC_002505.1;123772;126261;+;cds;0
N16961_00630;0;NC_002505.1;126294;126890;-;cds;0
N16961_00635;0;NC_002505.1;126887;128431;-;cds;0
N16961_00640;0;NC_002505.1;128715;129542;-;cds;0
N16961_00645;0;NC_002505.1;129657;130673;-;cds;0
N16961_00650;0;NC_002505.1;130748;131365;+;cds;0
N16961_00655;0;NC_002505.1;131385;132611;+;cds;0
N16961_00660;0;NC_002505.1;132791;133261;-;cds;0
N16961_00665;0;NC_002505.1;133431;133760;-;cds;0
N16961_00670;0;NC_002505.1;133965;134333;+;cds;0
N16961_00675;0;NC_002505.1;135216;135839;+;cds;0
N16961_00680;0;NC_002505.1;135888;136154;-;cds;0
N16961_00685;0;NC_002505.1;136151;136750;-;cds;0
N16961_00690;0;NC_002505.1;136954;138129;+;cds;0
N16961_00695;0;NC_002505.1;138178;138852;+;cds;0
N16961_00700;0;NC_002505.1;138842;139834;+;cds;0
N16961_00705;0;NC_002505.1;140004;140864;+;cds;0
N16961_00710;0;NC_002505.1;141066;142466;-;cds;0
N16961_00715;0;NC_002505.1;142774;143415;+;cds;0
N16961_00720;0;NC_002505.1;143455;143826;+;cds;0
N16961_00725;2;NC_002505.1;143863;144972;-;cds;47.8160040165443
N16961_00730;0;NC_002505.1;145370;147205;+;cds;0
N16961_00735;0;NC_002505.1;147278;148993;-;cds;0
N16961_00740;0;NC_002505.1;149278;150075;+;cds;0
N16961_00745;0;NC_002505.1;150041;150499;-;cds;0
N16961_00775;0;NC_002505.1;156407;157303;-;cds;0
N16961_00780;0;NC_002505.1;157441;158925;+;cds;0
N16961_00785;0;NC_002505.1;159052;159303;-;cds;0
N16961_00790;0;NC_002505.1;159419;162529;-;cds;0
N16961_00795;0;NC_002505.1;162541;163626;-;cds;0
N16961_00800;0;NC_002505.1;163666;164247;-;cds;0
N16961_00805;0;NC_002505.1;164408;166423;+;cds;0
N16961_00810;0;NC_002505.1;166490;166891;-;cds;0
N16961_00840;0;NC_002505.1;168532;170247;+;cds;0
N16961_00845;0;NC_002505.1;170339;171895;+;cds;0
N16961_00850;0;NC_002505.1;172050;173027;+;cds;0
N16961_00855;0;NC_002505.1;173030;173968;+;cds;0
N16961_00860;0;NC_002505.1;174143;175090;+;cds;0
N16961_00865;0;NC_002505.1;175343;176932;-;cds;0
N16961_00870;0;NC_002505.1;177008;177181;-;cds;0
N16961_00875;0;NC_002505.1;177450;177758;-;cds;0
N16961_00880;0;NC_002505.1;177873;178424;+;cds;0
N16961_00885;0;NC_002505.1;178841;179089;+;cds;0
N16961_00890;0;NC_002505.1;179338;180405;+;cds;0
N16961_00895;0;NC_002505.1;180425;181729;+;cds;0
N16961_00900;0;NC_002505.1;181795;183486;+;cds;0
N16961_00905;0;NC_002505.1;183476;183946;+;cds;0
N16961_00910;0;NC_002505.1;183957;184388;-;cds;0
N16961_00915;0;NC_002505.1;184360;186471;-;cds;0
N16961_00920;0;NC_002505.1;186481;188169;-;cds;0
N16961_00925;0;NC_002505.1;188166;189368;-;cds;0
N16961_00930;0;NC_002505.1;189457;190809;-;cds;0
N16961_00935;0;NC_002505.1;190915;191754;-;cds;0
N16961_00940;0;NC_002505.1;192034;194076;+;cds;0
N16961_00945;0;NC_002505.1;194214;196385;+;cds;0
N16961_00955;0;NC_002505.1;197130;197798;-;cds;0
N16961_00960;0;NC_002505.1;197873;198676;-;cds;0
N16961_00965;0;NC_002505.1;198833;200587;-;cds;0
N16961_00970;0;NC_002505.1;200761;201663;-;cds;0
N16961_00975;0;NC_002505.1;201803;203665;+;cds;0
N16961_00980;0;NC_002505.1;203658;203957;+;cds;0
N16961_00985;0;NC_002505.1;204128;204490;+;cds;0
N16961_00990;0;NC_002505.1;204526;206355;-;cds;0
N16961_00995;2;NC_002505.1;206490;208589;+;cds;47.8160040165443
N16961_01000;0;NC_002505.1;208720;209505;+;cds;0
N16961_01005;0;NC_002505.1;209496;210455;+;cds;0
N16961_01010;0;NC_002505.1;210452;212413;+;cds;0
N16961_01015;0;NC_002505.1;212440;213288;-;cds;0
N16961_01020;0;NC_002505.1;213519;214421;+;cds;0
N16961_01025;0;NC_002505.1;214452;215897;+;cds;0
N16961_01030;0;NC_002505.1;216004;216492;-;cds;0
N16961_01035;0;NC_002505.1;216558;217424;-;cds;0
N16961_01040;0;NC_002505.1;217588;218304;+;cds;0
N16961_01045;0;NC_002505.1;218667;219311;+;cds;0
N16961_01050;0;NC_002505.1;219397;220374;-;cds;0
N16961_01055;0;NC_002505.1;220385;221332;-;cds;0
N16961_01060;0;NC_002505.1;221338;221928;-;cds;0
N16961_01065;0;NC_002505.1;222087;223286;-;cds;0
N16961_01070;0;NC_002505.1;223469;225148;+;cds;0
N16961_01075;0;NC_002505.1;225260;225934;+;cds;0
N16961_01080;0;NC_002505.1;226229;226465;+;cds;0
N16961_01085;0;NC_002505.1;226479;226646;+;cds;0
N16961_01090;0;NC_002505.1;226873;227355;+;cds;0
N16961_01095;0;NC_002505.1;227365;228174;+;cds;0
N16961_01100;0;NC_002505.1;228271;228765;-;cds;0
N16961_01105;0;NC_002505.1;228876;229913;+;cds;0
N16961_01110;0;NC_002505.1;229975;230754;-;cds;0
N16961_01115;0;NC_002505.1;230797;231864;-;cds;0
N16961_01120;0;NC_002505.1;231998;232705;+;cds;0
N16961_01125;0;NC_002505.1;232709;233668;+;cds;0
N16961_01130;0;NC_002505.1;233672;234601;-;cds;0
N16961_01135;0;NC_002505.1;234598;235341;-;cds;0
N16961_01140;0;NC_002505.1;235338;236921;-;cds;0
N16961_01145;0;NC_002505.1;236912;237292;-;cds;0
N16961_01150;0;NC_002505.1;237289;238569;-;cds;0
N16961_01155;0;NC_002505.1;238569;239351;-;cds;0
N16961_01160;2;NC_002505.1;239354;240403;-;cds;47.8160040165443
N16961_01165;2;NC_002505.1;240400;241437;-;cds;47.8160040165443
N16961_01170;0;NC_002505.1;241437;242636;-;cds;0
N16961_01175;0;NC_002505.1;242638;243198;-;cds;0
N16961_01180;0;NC_002505.1;243212;244984;-;cds;0
N16961_01185;0;NC_002505.1;245143;246087;-;cds;0
N16961_01190;0;NC_002505.1;246529;247926;+;cds;0
N16961_01195;0;NC_002505.1;247929;249320;+;cds;0
N16961_01200;0;NC_002505.1;249323;250444;+;cds;0
N16961_01205;0;NC_002505.1;250455;251558;+;cds;0
N16961_01210;0;NC_002505.1;251564;252946;+;cds;0
N16961_01215;0;NC_002505.1;252939;253712;+;cds;0
N16961_01220;0;NC_002505.1;253714;254466;+;cds;0
N16961_01225;0;NC_002505.1;254514;254747;+;cds;0
N16961_01230;0;NC_002505.1;254753;256168;+;cds;0
N16961_01235;0;NC_002505.1;256177;257301;+;cds;0
N16961_01240;0;NC_002505.1;257292;259769;+;cds;0
N16961_01245;0;NC_002505.1;259839;260405;+;cds;0
N16961_01255;0;NC_002505.1;260793;260990;+;cds;0
N16961_01260;0;NC_002505.1;260997;261701;+;cds;0
N16961_01265;0;NC_002505.1;262098;262319;+;cds;0
N16961_01270;0;NC_002505.1;262362;262670;+;cds;0
N16961_01275;0;NC_002505.1;262913;263539;+;cds;0
N16961_01280;0;NC_002505.1;263563;264219;+;cds;0
N16961_01285;0;NC_002505.1;264254;265366;-;cds;0
N16961_01290;0;NC_002505.1;265374;267239;-;cds;0
N16961_01295;0;NC_002505.1;267392;268363;+;cds;0
N16961_01300;0;NC_002505.1;268371;268925;+;cds;0
N16961_01305;0;NC_002505.1;269119;270435;+;cds;0
N16961_01310;0;NC_002505.1;270697;271935;-;cds;0
N16961_01315;0;NC_002505.1;271990;272562;-;cds;0
N16961_01320;0;NC_002505.1;272562;273485;-;cds;0
N16961_01325;0;NC_002505.1;273559;274146;+;cds;0
N16961_01330;0;NC_002505.1;274509;275708;+;cds;0
N16961_01335;0;NC_002505.1;275767;276654;+;cds;0
N16961_01340;0;NC_002505.1;277002;278060;-;cds;0
N16961_01345;0;NC_002505.1;278432;278704;+;cds;0
N16961_01350;0;NC_002505.1;278750;279439;+;cds;0
N16961_01355;0;NC_002505.1;279539;280828;-;cds;0
N16961_01360;0;NC_002505.1;280887;282479;-;cds;0
N16961_01365;0;NC_002505.1;282768;283166;+;cds;0
N16961_01370;0;NC_002505.1;283393;284952;+;cds;0
N16961_01375;0;NC_002505.1;285652;286989;+;cds;0
N16961_01380;2;NC_002505.1;287099;289234;+;cds;47.8160040165443
N16961_01385;0;NC_002505.1;289352;290992;-;cds;0
N16961_01390;0;NC_002505.1;291257;291934;-;cds;0
N16961_01395;0;NC_002505.1;291955;292446;-;cds;0
N16961_01400;0;NC_002505.1;292513;293997;-;cds;0
N16961_01405;0;NC_002505.1;294219;294824;-;cds;0
N16961_01410;0;NC_002505.1;294837;296213;-;cds;0
N16961_01415;0;NC_002505.1;296367;296882;+;cds;0
N16961_01420;0;NC_002505.1;296879;298675;+;cds;0
N16961_01425;0;NC_002505.1;298752;299750;-;cds;0
N16961_01430;0;NC_002505.1;299889;300185;-;cds;0
N16961_01435;0;NC_002505.1;300209;301129;-;cds;0
N16961_01440;0;NC_002505.1;301317;302204;-;cds;0
N16961_01445;3;NC_002505.1;302413;303756;-;cds;71.7240060248165
N16961_01450;2;NC_002505.1;303771;304232;-;cds;47.8160040165443
N16961_01455;0;NC_002505.1;304289;304741;-;cds;0
N16961_01460;0;NC_002505.1;305121;307070;-;cds;0
N16961_01465;0;NC_002505.1;307273;307902;-;cds;0
N16961_01470;0;NC_002505.1;307911;309734;-;cds;0
N16961_01475;0;NC_002505.1;309994;311184;+;cds;0
N16961_01480;0;NC_002505.1;311277;314720;+;cds;0
N16961_01485;0;NC_002505.1;314843;316336;-;cds;0
N16961_01490;0;NC_002505.1;316344;317660;-;cds;0
N16961_01495;0;NC_002505.1;317772;318098;+;cds;0
N16961_01500;0;NC_002505.1;318296;319555;+;cds;0
N16961_01505;0;NC_002505.1;319654;320646;+;cds;0
N16961_01510;0;NC_002505.1;320728;322569;+;cds;0
N16961_01515;0;NC_002505.1;322566;322835;+;cds;0
N16961_01520;0;NC_002505.1;322851;323561;+;cds;0
N16961_01555;0;NC_002505.1;329711;331051;-;cds;0
N16961_01560;0;NC_002505.1;331146;331568;-;cds;0
N16961_01565;0;NC_002505.1;331605;332678;+;cds;0
N16961_01570;0;NC_002505.1;332675;333637;+;cds;0
N16961_01575;0;NC_002505.1;333687;334814;-;cds;0
N16961_01600;0;NC_002505.1;335326;336510;+;cds;0
N16961_01605;0;NC_002505.1;336734;337114;+;cds;0
N16961_01610;0;NC_002505.1;337130;337678;+;cds;0
N16961_01615;0;NC_002505.1;337809;338237;+;cds;0
N16961_01620;0;NC_002505.1;338242;338943;+;cds;0
N16961_01625;0;NC_002505.1;339213;339701;+;cds;0
N16961_01630;0;NC_002505.1;339768;340133;+;cds;0
N16961_01640;0;NC_002505.1;340374;344399;+;cds;0
N16961_01645;2;NC_002505.1;344504;348709;+;cds;47.8160040165443
N16961_01650;0;NC_002505.1;348820;349308;-;cds;0
N16961_01655;0;NC_002505.1;349492;350268;+;cds;0
N16961_01660;0;NC_002505.1;350523;351590;+;cds;0
N16961_01665;0;NC_002505.1;351710;352324;+;cds;0
N16961_01670;0;NC_002505.1;352411;353370;+;cds;0
N16961_01675;0;NC_002505.1;353367;354515;-;cds;0
N16961_01680;2;NC_002505.1;354684;356216;-;cds;47.8160040165443
N16961_01685;2;NC_002505.1;356359;357246;-;cds;47.8160040165443
N16961_01690;0;NC_002505.1;357398;358813;-;cds;0
N16961_01695;0;NC_002505.1;359021;359878;-;cds;0
N16961_01700;0;NC_002505.1;359871;361034;-;cds;0
N16961_01705;0;NC_002505.1;361157;361702;+;cds;0
N16961_01750;0;NC_002505.1;363575;364684;-;cds;0
N16961_01755;0;NC_002505.1;364889;365353;+;cds;0
N16961_01760;0;NC_002505.1;365347;367065;+;cds;0
N16961_01765;0;NC_002505.1;367072;369033;+;cds;0
N16961_01770;0;NC_002505.1;369030;369977;+;cds;0
N16961_01775;0;NC_002505.1;370149;370412;+;cds;0
N16961_01780;0;NC_002505.1;370445;371734;+;cds;0
N16961_01785;0;NC_002505.1;371780;372967;+;cds;0
N16961_01790;0;NC_002505.1;372970;373950;+;cds;0
N16961_01795;0;NC_002505.1;374011;374199;+;cds;0
N16961_01800;0;NC_002505.1;374240;374467;-;cds;0
N16961_01805;0;NC_002505.1;374470;375450;-;cds;0
N16961_01810;0;NC_002505.1;375590;376369;+;cds;0
N16961_01815;0;NC_002505.1;376568;377290;+;cds;0
N16961_01820;0;NC_002505.1;377287;377682;+;cds;0
N16961_01825;0;NC_002505.1;377679;378035;+;cds;0
N16961_01830;0;NC_002505.1;378045;378320;+;cds;0
N16961_01835;0;NC_002505.1;378505;378879;+;cds;0
N16961_01840;0;NC_002505.1;378995;379465;+;cds;0
N16961_01845;0;NC_002505.1;379541;381637;+;cds;0
N16961_01850;0;NC_002505.1;381760;382944;+;cds;0
N16961_01855;0;NC_002505.1;383247;383435;+;cds;0
N16961_01860;0;NC_002505.1;383505;383981;+;cds;0
N16961_01865;0;NC_002505.1;384193;384561;+;cds;0
N16961_01870;0;NC_002505.1;384569;384871;+;cds;0
N16961_01875;0;NC_002505.1;384887;385114;+;cds;0
N16961_01880;0;NC_002505.1;385148;385597;+;cds;0
N16961_01885;0;NC_002505.1;385659;386423;-;cds;0
N16961_01890;0;NC_002505.1;386594;388000;+;cds;0
N16961_01895;0;NC_002505.1;388005;389099;+;cds;0
N16961_01900;0;NC_002505.1;389182;389601;-;cds;0
N16961_01905;0;NC_002505.1;389886;391538;+;cds;0
N16961_01910;0;NC_002505.1;391741;392919;+;cds;0
N16961_01915;0;NC_002505.1;393036;393497;-;cds;0
N16961_01920;0;NC_002505.1;393507;393971;-;cds;0
N16961_01925;0;NC_002505.1;394329;395312;+;cds;0
N16961_01930;0;NC_002505.1;395473;395685;+;cds;0
N16961_01935;0;NC_002505.1;395774;396439;+;cds;0
N16961_01940;0;NC_002505.1;396560;396790;+;cds;0
N16961_01945;0;NC_002505.1;396897;398720;+;cds;0
N16961_01950;0;NC_002505.1;398720;400453;+;cds;0
N16961_01955;0;NC_002505.1;400446;401207;+;cds;0
N16961_01990;0;NC_002505.1;407506;408840;-;cds;0
N16961_01995;0;NC_002505.1;409037;412717;+;cds;0
N16961_02000;2;NC_002505.1;412790;414145;-;cds;47.8160040165443
N16961_02005;0;NC_002505.1;414609;415727;+;cds;0
N16961_02010;0;NC_002505.1;415806;417590;-;cds;0
N16961_02015;0;NC_002505.1;417655;420477;-;cds;0
N16961_02020;0;NC_002505.1;420633;421508;-;cds;0
N16961_02025;0;NC_002505.1;421678;422322;-;cds;0
N16961_02030;0;NC_002505.1;422614;423147;+;cds;0
N16961_02035;0;NC_002505.1;423271;425283;+;cds;0
N16961_02040;0;NC_002505.1;425296;426735;+;cds;0
N16961_02045;0;NC_002505.1;426732;427382;+;cds;0
N16961_02050;0;NC_002505.1;427375;427692;+;cds;0
N16961_02055;0;NC_002505.1;427707;429386;+;cds;0
N16961_02060;0;NC_002505.1;429391;430236;+;cds;0
N16961_02065;0;NC_002505.1;430233;431384;+;cds;0
N16961_02070;0;NC_002505.1;431374;433101;+;cds;0
N16961_02075;0;NC_002505.1;433110;434333;+;cds;0
N16961_02080;0;NC_002505.1;434336;434788;+;cds;0
N16961_02085;0;NC_002505.1;434833;435423;+;cds;0
N16961_02090;0;NC_002505.1;435458;435985;+;cds;0
N16961_02095;0;NC_002505.1;436022;436510;+;cds;0
N16961_02100;0;NC_002505.1;436500;437069;+;cds;0
N16961_02105;0;NC_002505.1;437069;437839;+;cds;0
N16961_02110;0;NC_002505.1;437811;438236;+;cds;0
N16961_02115;0;NC_002505.1;438229;441987;+;cds;0
N16961_02120;0;NC_002505.1;442155;443198;+;cds;0
N16961_02125;0;NC_002505.1;443255;444145;+;cds;0
N16961_02130;0;NC_002505.1;444132;444620;+;cds;0
N16961_02135;0;NC_002505.1;444617;445180;+;cds;0
N16961_02140;0;NC_002505.1;445206;446675;+;cds;0
N16961_02145;0;NC_002505.1;446724;450563;+;cds;0
N16961_02150;0;NC_002505.1;450572;451399;+;cds;0
N16961_02155;0;NC_002505.1;451399;452844;+;cds;0
N16961_02160;0;NC_002505.1;452940;454163;-;cds;0
N16961_02165;0;NC_002505.1;454890;455312;+;cds;0
N16961_02170;0;NC_002505.1;455459;456256;+;cds;0
N16961_02175;0;NC_002505.1;456325;456708;-;cds;0
N16961_02180;0;NC_002505.1;456859;457296;-;cds;0
N16961_02185;0;NC_002505.1;457418;459982;-;cds;0
N16961_02190;0;NC_002505.1;460153;461121;-;cds;0
N16961_02195;0;NC_002505.1;461445;461915;-;cds;0
N16961_02200;0;NC_002505.1;462243;463178;+;cds;0
N16961_02205;0;NC_002505.1;463652;465058;+;cds;0
N16961_02210;0;NC_002505.1;465207;466178;-;cds;0
N16961_02215;0;NC_002505.1;466449;466760;+;cds;0
N16961_02220;0;NC_002505.1;466781;467041;+;cds;0
N16961_02225;0;NC_002505.1;467264;468436;+;cds;0
N16961_02230;0;NC_002505.1;468558;469319;+;cds;0
N16961_02235;0;NC_002505.1;469319;469792;+;cds;0
N16961_02240;0;NC_002505.1;469805;470302;+;cds;0
N16961_02245;0;NC_002505.1;470451;471260;-;cds;0
N16961_02250;0;NC_002505.1;471271;471651;-;cds;0
N16961_02255;0;NC_002505.1;471723;472538;-;cds;0
N16961_02260;0;NC_002505.1;472552;473544;-;cds;0
N16961_02265;0;NC_002505.1;473534;474829;-;cds;0
N16961_02270;0;NC_002505.1;474882;477233;-;cds;0
N16961_02275;0;NC_002505.1;477392;478246;+;cds;0
N16961_02305;0;NC_002505.1;479294;480919;-;cds;0
N16961_02330;0;NC_002505.1;481683;482810;-;cds;0
N16961_02335;0;NC_002505.1;482912;483184;-;cds;0
N16961_02340;0;NC_002505.1;483198;484259;-;cds;0
N16961_02345;0;NC_002505.1;484499;485218;+;cds;0
N16961_02350;0;NC_002505.1;485329;486249;+;cds;0
N16961_02355;0;NC_002505.1;486470;487645;-;cds;0
N16961_02360;0;NC_002505.1;487639;488241;-;cds;0
N16961_02365;0;NC_002505.1;488311;488742;-;cds;0
N16961_02370;0;NC_002505.1;488788;489078;-;cds;0
N16961_02375;0;NC_002505.1;489078;489635;-;cds;0
N16961_02380;0;NC_002505.1;489689;490507;-;cds;0
N16961_02385;0;NC_002505.1;490560;491270;-;cds;0
N16961_02390;0;NC_002505.1;491296;492333;+;cds;0
N16961_02395;0;NC_002505.1;492348;493454;+;cds;0
N16961_02400;0;NC_002505.1;493572;494369;+;cds;0
N16961_02405;0;NC_002505.1;494478;495758;+;cds;0
N16961_02410;0;NC_002505.1;495796;496218;-;cds;0
N16961_02415;0;NC_002505.1;496299;496862;-;cds;0
N16961_02420;0;NC_002505.1;496898;497854;-;cds;0
N16961_02425;0;NC_002505.1;497868;498599;-;cds;0
N16961_02430;0;NC_002505.1;498737;499432;-;cds;0
N16961_02435;0;NC_002505.1;499560;500048;-;cds;0
N16961_02440;0;NC_002505.1;500170;501327;-;cds;0
N16961_02445;0;NC_002505.1;501692;503689;+;cds;0
N16961_02450;2;NC_002505.1;503761;504657;-;cds;47.8160040165443
N16961_02455;0;NC_002505.1;504802;506760;+;cds;0
N16961_02460;0;NC_002505.1;506849;507937;+;cds;0
N16961_02465;0;NC_002505.1;508086;509249;+;cds;0
N16961_02470;0;NC_002505.1;509405;510481;+;cds;0
N16961_02475;0;NC_002505.1;510777;511640;+;cds;0
N16961_02480;0;NC_002505.1;511704;512339;-;cds;0
N16961_02485;0;NC_002505.1;512504;513400;+;cds;0
N16961_02490;0;NC_002505.1;513501;514196;+;cds;0
N16961_02495;0;NC_002505.1;514529;514660;+;cds;0
N16961_02500;0;NC_002505.1;514732;516144;-;cds;0
N16961_02505;0;NC_002505.1;516572;517342;+;cds;0
N16961_02510;0;NC_002505.1;517405;519237;+;cds;0
N16961_02515;0;NC_002505.1;519298;520377;-;cds;0
N16961_02520;0;NC_002505.1;520634;522394;-;cds;0
N16961_02525;0;NC_002505.1;523156;525117;-;cds;0
N16961_02530;0;NC_002505.1;525118;525630;-;cds;0
N16961_02535;0;NC_002505.1;525623;526789;-;cds;0
N16961_02540;0;NC_002505.1;527045;527920;-;cds;0
N16961_02545;0;NC_002505.1;528305;528949;+;cds;0
N16961_02550;0;NC_002505.1;529011;529685;+;cds;0
N16961_02555;0;NC_002505.1;529739;530338;+;cds;0
N16961_02560;0;NC_002505.1;530402;530602;+;cds;0
N16961_02565;0;NC_002505.1;530684;531124;+;cds;0
N16961_02570;0;NC_002505.1;531436;531924;-;cds;0
N16961_02575;0;NC_002505.1;532244;532396;-;cds;0
N16961_02580;0;NC_002505.1;533360;533809;-;cds;0
N16961_02585;0;NC_002505.1;534198;534722;-;cds;0
N16961_02590;0;NC_002505.1;535418;536698;+;cds;0
