"","GeneID","Chr","Start","End","Strand","Annotation"
"106","N16961_00585","NC_002505.1",114761,115696,"-","hydroxymethylbilane synthase"
"107","N16961_00590","NC_002505.1",115930,118584,"+","class I adenylate cyclase"
"108","N16961_00595","NC_002505.1",118690,119004,"-","iron donor protein CyaY"
"109","N16961_00600","NC_002505.1",119229,120482,"+","diaminopimelate decarboxylase"
"110","N16961_00605","NC_002505.1",120494,121324,"+","diaminopimelate epimerase"
"111","N16961_00610","NC_002505.1",121338,122036,"+","DUF484 domain-containing protein"
"112","N16961_00615","NC_002505.1",122005,122940,"+","tyrosine recombinase XerC"
"113","N16961_00620","NC_002505.1",122943,123662,"+","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB"
"114","N16961_00625","NC_002505.1",123772,126261,"+","Cyclic di-GMP phosphodiesterase CdpA"
"115","N16961_00630","NC_002505.1",126294,126890,"-","tRNA U47 aminocarboxypropyltransferaseTapT/TuaA/ YfiP, DTW domain"
"116","N16961_00635","NC_002505.1",126887,128431,"-","Uncharacterized membrane protein"
"117","N16961_00640","NC_002505.1",128715,129542,"-","Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases"
"118","N16961_00645","NC_002505.1",129657,130673,"-","Lysophospholipase, alpha-beta hydrolase superfamily"
"119","N16961_00650","NC_002505.1",130748,131365,"+","homoserine/homoserine lactone efflux protein"
"120","N16961_00655","NC_002505.1",131385,132611,"+","Cyclic di-GMP phosphodiesterase CdgJ"
"121","N16961_00660","NC_002505.1",132791,133261,"-","DNA-binding ferritin-like protein (oxidative damage protectant)"
"122","N16961_00665","NC_002505.1",133431,133760,"-","DUF2500 domain-containing protein"
"123","N16961_00670","NC_002505.1",133965,134333,"+","DUF4145 domain-containing protein"
"124","N16961_00675","NC_002505.1",135216,135839,"+","Uncharacterized membrane protein YhhN"
"125","N16961_00680","NC_002505.1",135888,136154,"-","DUF1145 domain-containing protein"
"126","N16961_00685","NC_002505.1",136151,136750,"-","16S rRNA (guanine(966)-N(2))-methyltransferase RsmD"
"127","N16961_00690","NC_002505.1",136954,138129,"+","signal recognition particle-docking protein FtsY"
"128","N16961_00695","NC_002505.1",138178,138852,"+","cell division ATP-binding protein FtsE"
"129","N16961_00700","NC_002505.1",138842,139834,"+","permease-like cell division protein FtsX"
"130","N16961_00705","NC_002505.1",140004,140864,"+","RNA polymerase sigma factor RpoH"
"131","N16961_00710","NC_002505.1",141066,142466,"-","Si-specific NAD(P)(+) transhydrogenase"
"132","N16961_00715","NC_002505.1",142774,143415,"+","HTH-type transcriptional repressor FabR"
"133","N16961_00720","NC_002505.1",143455,143826,"+","YijD family membrane protein"
"134","N16961_00725","NC_002505.1",143863,144972,"-","tRNA (uridine(54)-C5)-methyltransferase TrmA"
"135","N16961_00730","NC_002505.1",145370,147205,"+","TonB-dependent vitamin B12 receptor"
"136","N16961_00735","NC_002505.1",147278,148993,"-","Serine protease, subtilisin family"
"137","N16961_00740","NC_002505.1",149278,150075,"+","glutamate racemase"
"138","N16961_00745","NC_002505.1",150041,150499,"-","RNA recognition motif (RRM) domain"
"139","N16961_00775","NC_002505.1",156407,157303,"-","HTH-type transcriptional activator IlvY"
"140","N16961_00780","NC_002505.1",157441,158925,"+","ketol-acid reductoisomerase"
"141","N16961_00785","NC_002505.1",159052,159303,"-","Ubiquinone biosynthesis accessory factor UbiK"
"142","N16961_00790","NC_002505.1",159419,162529,"-","multidrug efflux RND transporter permease subunit VexB"
"143","N16961_00795","NC_002505.1",162541,163626,"-","multidrug efflux RND transporter periplasmic adaptor subunit VexA"
"144","N16961_00800","NC_002505.1",163666,164247,"-","TetR family transcriptional regulator VexR"
"145","N16961_00805","NC_002505.1",164408,166423,"+","DNA helicase Rep"
"146","N16961_00810","NC_002505.1",166490,166891,"-","Cytochrome c5"
"147","N16961_00840","NC_002505.1",168532,170247,"+","nickel import ATP-binding protein NikD"
"148","N16961_00845","NC_002505.1",170339,171895,"+","ABC-type transport system, periplasmic component"
"149","N16961_00850","NC_002505.1",172050,173027,"+","ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
"150","N16961_00855","NC_002505.1",173030,173968,"+","ABC-type dipeptide/oligopeptide/nickel transport system, permease component"
"151","N16961_00860","NC_002505.1",174143,175090,"+","SPOR domain-containing protein"
"152","N16961_00865","NC_002505.1",175343,176932,"-","anti-phage dCTP deaminase"
"153","N16961_00870","NC_002505.1",177008,177181,"-","hypothetical protein"
"154","N16961_00875","NC_002505.1",177450,177758,"-","Transcriptional regulator, contains XRE-family HTH domain"
"155","N16961_00880","NC_002505.1",177873,178424,"+","transcriptional regulator VspR"
"156","N16961_00885","NC_002505.1",178841,179089,"+","hypothetical protein"
"157","N16961_00890","NC_002505.1",179338,180405,"+","cGAMP-activated phospholipase CapV"
"158","N16961_00895","NC_002505.1",180425,181729,"+","cyclic AMP-GMP synthase"
"159","N16961_00900","NC_002505.1",181795,183486,"+","CD-NTase-associated protein 2"
"160","N16961_00905","NC_002505.1",183476,183946,"+","CD-NTase-associated protein 3"
"161","N16961_00910","NC_002505.1",183957,184388,"-","KfrA N-terminal DNA-binding domain-containing protein"
"162","N16961_00915","NC_002505.1",184360,186471,"-","Integrase"
"163","N16961_00920","NC_002505.1",186481,188169,"-","Core-binding (CB) domain-containing protein"
"164","N16961_00925","NC_002505.1",188166,189368,"-","Tyr recombinase domain-containing protein"
"165","N16961_00930","NC_002505.1",189457,190809,"-","glutathione-disulfide reductase"
"166","N16961_00935","NC_002505.1",190915,191754,"-","23S rRNA A2030 N6-methylase RlmJ"
"167","N16961_00940","NC_002505.1",192034,194076,"+","oligopeptidase A"
"168","N16961_00945","NC_002505.1",194214,196385,"+","DNA helicase II"
"169","N16961_00955","NC_002505.1",197130,197798,"-","Threonine/homoserine/homoserine lactone efflux protein"
"170","N16961_00960","NC_002505.1",197873,198676,"-","Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain"
"171","N16961_00965","NC_002505.1",198833,200587,"-","gamma-glutamyltransferase"
"172","N16961_00970","NC_002505.1",200761,201663,"-","EamA family transporter RarD"
"173","N16961_00975","NC_002505.1",201803,203665,"+","ATP-dependent DNA helicase RecQ"
"174","N16961_00980","NC_002505.1",203658,203957,"+","Gene 3 protein-related protein"
"175","N16961_00985","NC_002505.1",204128,204490,"+","Transmembrane protein"
"176","N16961_00990","NC_002505.1",204526,206355,"-","ABC-type multidrug transport system, ATPase and permease component"
"177","N16961_00995","NC_002505.1",206490,208589,"+","TonB-dependent siderophore receptor FhuA"
"178","N16961_01000","NC_002505.1",208720,209505,"+","ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component"
"179","N16961_01005","NC_002505.1",209496,210455,"+","ABC-type Fe3+-hydroxamate transport system, periplasmic component"
"180","N16961_01010","NC_002505.1",210452,212413,"+","Fe(3+)-hydroxamate ABC transporter permease FhuB"
"181","N16961_01015","NC_002505.1",212440,213288,"-","DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains"
"182","N16961_01020","NC_002505.1",213519,214421,"+","N-acetylmuramic acid 6-phosphate etherase"
"183","N16961_01025","NC_002505.1",214452,215897,"+","PTS N-acetylmuramic acid transporter subunit IIBC"
"184","N16961_01030","NC_002505.1",216004,216492,"-","UPF0114 protein VC_0208"
"185","N16961_01035","NC_002505.1",216558,217424,"-","Uncharacterized stationary-phase protein YicC, UPF0701 family"
"186","N16961_01040","NC_002505.1",217588,218304,"+","ribonuclease PH"
"187","N16961_01045","NC_002505.1",218667,219311,"+","Orotate phosphoribosyltransferase"
"188","N16961_01050","NC_002505.1",219397,220374,"-","lipid A biosynthesis myristoyltransferase LpxN"
"189","N16961_01055","NC_002505.1",220385,221332,"-","Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis)"
"190","N16961_01060","NC_002505.1",221338,221928,"-","nucleoid occlusion factor SlmA"
"191","N16961_01065","NC_002505.1",222087,223286,"-","bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC"
"192","N16961_01070","NC_002505.1",223469,225148,"+","Methyl-accepting chemotaxis protein (MCP)"
"193","N16961_01075","NC_002505.1",225260,225934,"+","DNA repair protein RadC"
"194","N16961_01080","NC_002505.1",226229,226465,"+","50S ribosomal protein L28"
"195","N16961_01085","NC_002505.1",226479,226646,"+","50S ribosomal protein L33"
"196","N16961_01090","NC_002505.1",226873,227355,"+","50S ribosomal protein L33"
"197","N16961_01095","NC_002505.1",227365,228174,"+","bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase"
"198","N16961_01100","NC_002505.1",228271,228765,"-","pantetheine-phosphate adenylyltransferase"
"199","N16961_01105","NC_002505.1",228876,229913,"+","ADP-heptose:LPS heptosyltransferase"
"200","N16961_01110","NC_002505.1",229975,230754,"-","Glycosyltransferase involved in cell wall bisynthesis"
"201","N16961_01115","NC_002505.1",230797,231864,"-","ADP-heptose:LPS heptosyltransferase"
"202","N16961_01120","NC_002505.1",231998,232705,"+","3-deoxy-D-manno-octulosonic acid kinase"
"203","N16961_01125","NC_002505.1",232709,233668,"+","Lipopolysaccharide synthesis protein WavD"
"204","N16961_01130","NC_002505.1",233672,234601,"-","Lipopolysaccharide synthesis protein WavE"
"205","N16961_01135","NC_002505.1",234598,235341,"-","dTDP-glucose pyrophosphorylase"
"206","N16961_01140","NC_002505.1",235338,236921,"-","Capsular polysaccharide biosynthesis protein"
"207","N16961_01145","NC_002505.1",236912,237292,"-","Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases"
"208","N16961_01150","NC_002505.1",237289,238569,"-","lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase"
"209","N16961_01155","NC_002505.1",238569,239351,"-","Mannosyltransferase OCH1 or related enzyme"
"210","N16961_01160","NC_002505.1",239354,240403,"-","ADP-heptose:LPS heptosyltransferase"
"211","N16961_01165","NC_002505.1",240400,241437,"-","lipopolysaccharide heptosyltransferase II"
"212","N16961_01170","NC_002505.1",241437,242636,"-","O-antigen ligase"
"213","N16961_01175","NC_002505.1",242638,243198,"-","Putative O-acetyltransferase WavK"
"214","N16961_01180","NC_002505.1",243212,244984,"-","Peptidoglycan/xylan/chitin deacetylase, PgdA/NodB/CDA1 family"
"215","N16961_01185","NC_002505.1",245143,246087,"-","ADP-glyceromanno-heptose 6-epimerase"
"216","N16961_01190","NC_002505.1",246529,247926,"+","mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase"
"217","N16961_01195","NC_002505.1",247929,249320,"+","Phosphomannomutase"
"218","N16961_01200","NC_002505.1",249323,250444,"+","GDP-mannose 4,6-dehydratase"
"219","N16961_01205","NC_002505.1",250455,251558,"+","GDP-perosamine synthase"
"220","N16961_01210","NC_002505.1",251564,252946,"+","Glycosyltransferase involved in cell wall bisynthesis"
"221","N16961_01215","NC_002505.1",252939,253712,"+","ABC-type polysaccharide/teichoic acid/polyol phosphate export permease"
"222","N16961_01220","NC_002505.1",253714,254466,"+","ABC-type polysaccharide/polyol phosphate transport system, ATPase component"
"223","N16961_01225","NC_002505.1",254514,254747,"+","Acyl carrier protein"
"224","N16961_01230","NC_002505.1",254753,256168,"+","O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)"
"225","N16961_01235","NC_002505.1",256177,257301,"+","Alcohol dehydrogenase, class IV"
"226","N16961_01240","NC_002505.1",257292,259769,"+","Phenylacetate-coenzyme A ligase PaaK, adenylate-forming domain family"
"227","N16961_01245","NC_002505.1",259839,260405,"+","Acetyltransferase"
"228","N16961_01255","NC_002505.1",260793,260990,"+","RfbQ protein"
"229","N16961_01260","NC_002505.1",260997,261701,"+","ISAs1 family transposase"
"230","N16961_01265","NC_002505.1",262098,262319,"+","RfbT-related protein"
"231","N16961_01270","NC_002505.1",262362,262670,"+","IS3 family ISVch4 transposase ORF A"
"232","N16961_01275","NC_002505.1",262913,263539,"+","IS3 family transposase"
"233","N16961_01280","NC_002505.1",263563,264219,"+","RfbT protein"
"234","N16961_01285","NC_002505.1",264254,265366,"-","Glycosyltransferase involved in cell wall bisynthesis"
"235","N16961_01290","NC_002505.1",265374,267239,"-","NDP-sugar epimerase, includes UDP-GlcNAc-inverting 4,6-dehydratase FlaA1 and capsular polysaccharide biosynthesis protein EpsC"
"236","N16961_01295","NC_002505.1",267392,268363,"+","Nucleoside-diphosphate-sugar epimerase"
"237","N16961_01300","NC_002505.1",268371,268925,"+","Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid)"
"238","N16961_01305","NC_002505.1",269119,270435,"+","RNA processing exonuclease, beta-lactamase fold, Cft2 family"
"239","N16961_01310","NC_002505.1",270697,271935,"-","Small-conductance mechanosensitive channel"
"240","N16961_01315","NC_002505.1",271990,272562,"-","Uracil-DNA glycosylase"
"241","N16961_01320","NC_002505.1",272562,273485,"-","Phosphoglycerate dehydrogenase or related dehydrogenase"
"242","N16961_01325","NC_002505.1",273559,274146,"+","DUF416 domain-containing protein"
"243","N16961_01330","NC_002505.1",274509,275708,"+","mannose-6-phosphate isomerase, class I"
"244","N16961_01335","NC_002505.1",275767,276654,"+","Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain"
"245","N16961_01340","NC_002505.1",277002,278060,"-","Hemolysin-related protein, contains CBS domains, UPF0053 family"
"246","N16961_01345","NC_002505.1",278432,278704,"+","nucleoid-associated protein HU-alpha"
"247","N16961_01350","NC_002505.1",278750,279439,"+","Peptidyl-prolyl cis-trans isomerase"
"248","N16961_01355","NC_002505.1",279539,280828,"-","Phosphoribosylamine--glycine ligase"
"249","N16961_01360","NC_002505.1",280887,282479,"-","bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase"
"250","N16961_01365","NC_002505.1",282768,283166,"+","Zn(2+)-responsive transcriptional regulator"
"251","N16961_01370","NC_002505.1",283393,284952,"+","lysine decarboxylation/transport transcriptional activator CadC"
"252","N16961_01375","NC_002505.1",285652,286989,"+","cadaverine/lysine antiporter"
"253","N16961_01380","NC_002505.1",287099,289234,"+","Arginine/lysine/ornithine decarboxylase"
"254","N16961_01385","NC_002505.1",289352,290992,"-","Methyl-accepting chemotaxis protein (MCP)"
"255","N16961_01390","NC_002505.1",291257,291934,"-","PepSY-associated TM helix domain-containing protein"
"256","N16961_01395","NC_002505.1",291955,292446,"-","TonB system receptor"
"257","N16961_01400","NC_002505.1",292513,293997,"-","TonB system receptor"
"258","N16961_01405","NC_002505.1",294219,294824,"-","2-keto-3-deoxy-6-phosphogluconate aldolase"
"259","N16961_01410","NC_002505.1",294837,296213,"-","H+/gluconate symporter GntT or related permease, GntP/DsdX family"
"260","N16961_01415","NC_002505.1",296367,296882,"+","Gluconate kinase"
"261","N16961_01420","NC_002505.1",296879,298675,"+","phosphogluconate dehydratase"
"262","N16961_01425","NC_002505.1",298752,299750,"-","DNA-binding transcriptional regulator, LacI/PurR family"
"263","N16961_01430","NC_002505.1",299889,300185,"-","DNA-binding transcriptional regulator Fis"
"264","N16961_01435","NC_002505.1",300209,301129,"-","tRNA dihydrouridine synthase DusB"
"265","N16961_01440","NC_002505.1",301317,302204,"-","50S ribosomal protein L11 methyltransferase"
"266","N16961_01445","NC_002505.1",302413,303756,"-","acetyl-CoA carboxylase biotin carboxylase subunit"
"267","N16961_01450","NC_002505.1",303771,304232,"-","acetyl-CoA carboxylase biotin carboxyl carrier protein"
"268","N16961_01455","NC_002505.1",304289,304741,"-","type II 3-dehydroquinate dehydratase"
"269","N16961_01460","NC_002505.1",305121,307070,"-","acetate--CoA ligase"
"270","N16961_01465","NC_002505.1",307273,307902,"-","3'-5' exonuclease"
"271","N16961_01470","NC_002505.1",307911,309734,"-","Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains"
"272","N16961_01475","NC_002505.1",309994,311184,"+","3-phenylpropionate MFS transporter"
"273","N16961_01480","NC_002505.1",311277,314720,"+","PAS domain"
"274","N16961_01485","NC_002505.1",314843,316336,"-","guanosine-5'-triphosphate,3'-diphosphate diphosphatase"
"275","N16961_01490","NC_002505.1",316344,317660,"-","ATP-dependent RNA helicase RhlB"
"276","N16961_01495","NC_002505.1",317772,318098,"+","thioredoxin TrxA"
"277","N16961_01500","NC_002505.1",318296,319555,"+","transcription termination factor Rho"
"278","N16961_01505","NC_002505.1",319654,320646,"+","HEAT repeat domain-containing protein"
"279","N16961_01510","NC_002505.1",320728,322569,"+","4-hydroxy-3-polyprenylbenzoate decarboxylase"
"280","N16961_01515","NC_002505.1",322566,322835,"+","Ferredoxin"
"281","N16961_01520","NC_002505.1",322851,323561,"+","NAD(P)H-flavin reductase"
"282","N16961_01555","NC_002505.1",329711,331051,"-","CDP-diacylglycerol--serine O-phosphatidyltransferase"
"283","N16961_01560","NC_002505.1",331146,331568,"-","N-acetyltransferase domain-containing protein"
"284","N16961_01565","NC_002505.1",331605,332678,"+","UDP-N-acetylmuramate dehydrogenase"
"285","N16961_01570","NC_002505.1",332675,333637,"+","bifunctional biotin--[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA"
"286","N16961_01575","NC_002505.1",333687,334814,"-","type I pantothenate kinase"
"287","N16961_01600","NC_002505.1",335326,336510,"+","elongation factor Tu"
"288","N16961_01605","NC_002505.1",336734,337114,"+","preprotein translocase subunit SecE"
"289","N16961_01610","NC_002505.1",337130,337678,"+","transcription termination/antitermination protein NusG"
"290","N16961_01615","NC_002505.1",337809,338237,"+","50S ribosomal protein L11"
"291","N16961_01620","NC_002505.1",338242,338943,"+","50S ribosomal protein L1"
"292","N16961_01625","NC_002505.1",339213,339701,"+","50S ribosomal protein L10"
"293","N16961_01630","NC_002505.1",339768,340133,"+","50S ribosomal protein L7/L12"
"294","N16961_01640","NC_002505.1",340374,344399,"+","DNA-directed RNA polymerase subunit beta"
"295","N16961_01645","NC_002505.1",344504,348709,"+","DNA-directed RNA polymerase subunit beta'"
