Chromosome;Feature_name;Start;Stop;Strand;Type;Counts;CPM;Gene;Bakta Annotation
NC_002506.1;N16961_18660;1020875;1021096;-;cds;0;0;;Transposase
NC_002506.1;N16961_18665;1021280;1022770;-;cds;0;0;putP;sodium/proline symporter PutP
NC_002505.1;N16961_04845;1021527;1021997;+;cds;0;0;;zinc ribbon-containing protein
NC_002505.1;N16961_04850;1022053;1023570;-;cds;0;0;lnt;apolipoprotein N-acyltransferase
NC_002506.1;N16961_18670;1022843;1023541;-;cds;0;0;putA2;Delta 1-pyrroline-5-carboxylate dehydrogenase
NC_002506.1;N16961_18675;1023563;1026682;-;cds;4;55.47235;putA;bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase PutA
NC_002505.1;N16961_04855;1023611;1024486;-;cds;0;0;corC;CNNM family magnesium/cobalt transport protein CorC
NC_002506.1;N16961_14220;102445;103119;+;cds;0;0;;Secreted protein
NC_002505.1;N16961_04860;1024556;1025020;-;cds;0;0;ybeY;rRNA maturation RNase YbeY
NC_002505.1;N16961_04865;1025017;1026120;-;cds;0;0;phoH;Phosphate starvation-inducible protein PhoH, putative ATPase
NC_002505.1;N16961_04870;1026188;1027612;-;cds;0;0;miaB;tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
NC_002506.1;N16961_18680;1027022;1027885;-;cds;0;0;araC;AraC-type DNA-binding domain and AraC-containing proteins
NC_002505.1;N16961_04875;1027866;1029029;+;cds;0;0;ubiF;2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase
NC_002506.1;N16961_18685;1028277;1029383;+;cds;1;13.86809;;PEGA domain-containing protein
NC_002505.1;N16961_04880;1029142;1029651;-;cds;0;0;crr;PTS glucose transporter subunit IIA
NC_002506.1;N16961_18690;1029543;1031360;+;cds;2;27.73617;yfmG;Formylglycine-generating enzyme, required for sulfatase activity, contains SUMF1/FGE domain
NC_002505.1;N16961_04885;1029760;1031481;-;cds;0;0;ptsI;phosphoenolpyruvate-protein phosphotransferase PtsI
NC_002505.1;N16961_00530;103098;105902;+;cds;0;0;polA;DNA polymerase I
NC_002505.1;N16961_04890;1031615;1031872;-;cds;0;0;ptsH;Phosphocarrier protein HPr
NC_002506.1;N16961_14225;103162;104385;+;cds;0;0;;Endo-1,4-beta-xylanase
NC_002506.1;N16961_18700;1031679;1032419;+;cds;0;0;csgD;DNA-binding transcriptional regulator, CsgD family
NC_002505.1;N16961_04895;1032170;1033138;-;cds;2;27.73617;cysK;cysteine synthase A
NC_002506.1;N16961_18705;1032448;1033083;-;cds;0;0;pdxH;pyridoxamine 5'-phosphate oxidase
NC_002505.1;N16961_04900;1033261;1034013;-;cds;0;0;cysZ;sulfate transporter CysZ
NC_002506.1;N16961_18710;1033307;1034698;+;cds;0;0;emrA;Multidrug resistance efflux pump EmrA
NC_002505.1;N16961_04905;1034243;1035118;+;cds;0;0;zipA;cell division protein ZipA
NC_002506.1;N16961_18715;1034707;1035369;+;cds;0;0;;putative transglutaminase-like protein
NC_002505.1;N16961_04910;1035251;1037260;+;cds;0;0;ligA;NAD-dependent DNA ligase LigA
NC_002506.1;N16961_18720;1035375;1036538;+;cds;0;0;;GGDEF domain-containing protein
NC_002506.1;N16961_18725;1036577;1037284;+;cds;0;0;;EAL domain-containing protein
NC_002506.1;N16961_18730;1037299;1039413;+;cds;0;0;sunT;ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain
NC_002505.1;N16961_04915;1037891;1038940;+;cds;0;0;chiP;chitoporin
NC_002505.1;N16961_04920;1039020;1039832;+;cds;0;0;;DUF2057 domain-containing protein
NC_002506.1;N16961_18735;1039548;1041218;-;cds;0;0;fapA;Flagellar assembly protein FapA, interacts with EIIAGlc
NC_002505.1;N16961_04925;1039857;1040312;+;cds;0;0;cueR;Cu(I)-responsive transcriptional regulator
NC_002505.1;N16961_04930;1040356;1040805;-;cds;0;0;;NfeD-like C-terminal domain-containing protein
NC_002505.1;N16961_04935;1040813;1041733;-;cds;0;0;hflC;Regulator of protease activity HflC, stomatin/prohibitin superfamily
NC_002506.1;N16961_18740;1041477;1043183;-;cds;0;0;rsbU;Phosphoserine phosphatase RsbU, regulator of sigma subunit
NC_002505.1;N16961_04940;1042164;1043018;-;cds;0;0;cnoX;Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family
NC_002506.1;N16961_18745;1043207;1043506;-;cds;0;0;spoIIAA;Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)
NC_002505.1;N16961_04945;1043447;1044274;-;cds;0;0;yqjQ;SDR family oxidoreductase
NC_002506.1;N16961_18750;1043516;1044670;-;cds;0;0;tar;Methyl-accepting chemotaxis protein (MCP)
NC_002506.1;N16961_14230;104398;105114;-;cds;0;0;yjhB;ADP-ribose pyrophosphatase YjhB, NUDIX family
NC_002505.1;N16961_04950;1044317;1045231;-;cds;0;0;yfcH;NAD dependent epimerase/dehydratase family enzyme
NC_002506.1;N16961_18755;1044713;1044967;-;cds;0;0;;Chemotaxis response regulator protein-glutamate methylesterase
NC_002506.1;N16961_18760;1044994;1045752;-;cds;0;0;;(pseudo) Protein-glutamate methylesterase/protein-glutamine glutaminase
NC_002505.1;N16961_04955;1045646;1046194;+;cds;0;0;yfcE;phosphodiesterase
NC_002506.1;N16961_18765;1045749;1046402;-;cds;0;0;cheD;chemoreceptor glutamine deamidase CheD
NC_002505.1;N16961_04960;1046275;1046568;-;cds;0;0;;putative selenoprotein, Rdx family
NC_002506.1;N16961_18770;1046389;1047219;-;cds;0;0;cheR3;Chemotaxis protein methyltransferase 3
NC_002505.1;N16961_04965;1046609;1047130;-;cds;0;0;toxS;transmembrane regulator ToxS
NC_002505.1;N16961_04970;1047140;1047988;-;cds;0;0;toxR;Cholera toxin transcriptional activator
NC_002506.1;N16961_18775;1047234;1049270;-;cds;1;13.86809;aer2;aerotaxis transducer Aer2
NC_002505.1;N16961_04975;1048213;1050159;+;cds;0;0;htpG;molecular chaperone HtpG
NC_002506.1;N16961_18780;1049284;1049742;-;cds;0;0;cheW;Chemotaxis signal transduction protein CheW
NC_002506.1;N16961_18785;1049742;1050269;-;cds;0;0;cheW;Chemotaxis signal transduction protein CheW
NC_002506.1;N16961_18790;1050278;1052440;-;cds;0;0;cheA;Chemotaxis protein histidine kinase CheA
NC_002505.1;N16961_04980;1050494;1051138;+;cds;2;27.73617;adk;adenylate kinase
NC_002505.1;N16961_04985;1051265;1052227;+;cds;0;0;hemH;ferrochelatase
NC_002505.1;N16961_04990;1052327;1053808;-;cds;0;0;dtpA;dipeptide/tripeptide permease DtpA
NC_002506.1;N16961_18795;1052489;1052848;-;cds;0;0;cheY;CheY-like REC (receiver) domain, includes chemotaxis protein CheY and sporulation regulator Spo0F
NC_002506.1;N16961_18800;1052859;1053128;-;cds;0;0;spoIIAA;Anti-anti-sigma regulatory factor (antagonist of anti-sigma factor)
NC_002506.1;N16961_18805;1053398;1054927;+;cds;0;0;ddpA;ABC-type transport system, periplasmic component
NC_002505.1;N16961_04995;1054370;1054813;+;cds;0;0;rfaH;transcription/translation regulatory transformer protein RfaH
NC_002506.1;N16961_18810;1054920;1055876;+;cds;0;0;dppB;ABC-type dipeptide/oligopeptide/nickel transport system, permease component
NC_002505.1;N16961_05000;1054961;1056625;-;cds;0;0;asnB;asparagine synthase B
NC_002506.1;N16961_14240;105513;106820;+;cds;0;0;pncB;nicotinate phosphoribosyltransferase
NC_002506.1;N16961_18815;1055878;1056669;+;cds;0;0;dppC;ABC-type dipeptide/oligopeptide/nickel transport system, permease component
NC_002506.1;N16961_18820;1056666;1058048;+;cds;0;0;gsiA;ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain
NC_002505.1;N16961_05005;1056821;1058407;-;cds;0;0;rosB;putative Kef-type K+ transport protein, K+/H+ antiporter domain
NC_002506.1;N16961_18825;1058312;1059955;+;cds;0;0;opgE;Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily
NC_002505.1;N16961_05010;1058502;1059716;-;cds;0;0;nagC;Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain
NC_002505.1;N16961_05015;1059719;1060855;-;cds;0;0;nagA;N-acetylglucosamine-6-phosphate deacetylase
NC_002506.1;N16961_18830;1060107;1060814;-;cds;0;0;qseC;(pseudo) Sensor protein QseC
NC_002506.1;N16961_18835;1060861;1061448;-;cds;0;0;;sensor histidine kinase N-terminal domain-containing protein
NC_002505.1;N16961_05020;1061324;1062895;+;cds;0;0;nagE;Phosphotransferase system IIB components
NC_002506.1;N16961_18840;1061510;1062166;-;cds;0;0;ompR;DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain
NC_002506.1;N16961_18845;1062171;1062452;-;cds;0;0;;hypothetical protein
NC_002506.1;N16961_18850;1062449;1062802;-;cds;0;0;;hypothetical protein
NC_002506.1;N16961_18855;1062830;1063627;-;cds;0;0;yqjQ;SDR family oxidoreductase
NC_002505.1;N16961_05025;1063143;1064813;+;cds;2;27.73617;glnS;glutamine--tRNA ligase
NC_002506.1;N16961_18860;1063637;1064320;-;cds;0;0;;Long-chain fatty acid--CoA ligase
NC_002506.1;N16961_18865;1064363;1065886;-;cds;0;0;fAA1;Long-chain acyl-CoA synthetase (AMP-forming)
NC_002505.1;N16961_05030;1065041;1069843;+;cds;0;0;;AAA family ATPase
NC_002506.1;N16961_18870;1065897;1066499;-;cds;0;0;;Thermostable hemolysin
NC_002505.1;N16961_00540;106649;107311;-;cds;0;0;yihA;ribosome biogenesis GTP-binding protein YihA/YsxC
NC_002506.1;N16961_18875;1066673;1068799;-;cds;0;0;tmcA;tRNA(Met) cytidine acetyltransferase TmcA
NC_002506.1;N16961_14245;106851;107891;+;cds;0;0;mviM;putative dehydrogenase
NC_002506.1;N16961_18880;1068927;1069958;+;cds;0;0;potD;Spermidine/putrescine-binding periplasmic protein
NC_002505.1;N16961_05035;1069965;1070759;+;cds;0;0;truA;tRNA pseudouridine(38-40) synthase TruA
NC_002506.1;N16961_18885;1070018;1070989;-;cds;0;0;spo0J;Chromosome segregation protein Spo0J, contains ParB-like nuclease domain
NC_002505.1;N16961_05040;1070933;1071859;+;cds;0;0;accD;acetyl-CoA carboxylase, carboxyltransferase subunit beta
NC_002506.1;N16961_18890;1070997;1072214;-;cds;0;0;parA;ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ
NC_002505.1;N16961_05045;1071904;1073169;+;cds;0;0;folC;bifunctional tetrahydrofolate synthase/dihydrofolate synthase
NC_002505.1;N16961_05050;1073170;1073766;+;cds;0;0;dedD;Cell division protein DedD (periplasmic protein involved in septation)
NC_002505.1;N16961_05055;1073829;1074320;+;cds;0;0;purF;Colicin V production accessory protein CvpA, regulator of purF expression and biofilm formation
NC_002505.1;N16961_05060;1074353;1075867;+;cds;0;0;purF;amidophosphoribosyltransferase
NC_002505.1;N16961_00545;107463;108080;+;cds;0;0;cytC553;Cytochrome c553
NC_002505.1;N16961_05065;1075995;1077320;-;cds;0;0;yuiF;putative histidine transporter YuiF, NhaC family
NC_002505.1;N16961_05070;1077421;1078095;-;cds;0;0;rnt;ribonuclease T
NC_002505.1;N16961_05075;1078369;1079253;+;cds;0;0;motY;sodium-type flagellar protein MotY
NC_002506.1;N16961_14250;107928;108284;-;cds;0;0;pspE;Rhodanese-related sulfurtransferase
NC_002505.1;N16961_05080;1079302;1079739;-;cds;0;0;;DUF2753 domain-containing protein
NC_002505.1;N16961_05085;1079901;1080317;-;cds;0;0;gloA;lactoylglutathione lyase
NC_002505.1;N16961_05090;1080358;1080999;-;cds;0;0;nth;endonuclease III
NC_002505.1;N16961_05095;1081026;1081718;-;cds;0;0;rnfE;Ion-translocating oxidoreductase complex subunit E
NC_002505.1;N16961_05100;1081720;1082349;-;cds;0;0;rsxG;electron transport complex subunit RsxG
NC_002505.1;N16961_05105;1082361;1083407;-;cds;0;0;rsxD;electron transport complex subunit RsxD
NC_002505.1;N16961_00550;108282;108920;+;cds;0;0;ubiG;2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase
NC_002506.1;N16961_14255;108299;109837;-;cds;0;0;eAL;EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)
NC_002505.1;N16961_05110;1083407;1085731;-;cds;0;0;rsxC;electron transport complex subunit RsxC
NC_002505.1;N16961_05115;1085740;1086327;-;cds;0;0;rsxB;electron transport complex subunit RsxB
NC_002505.1;N16961_05120;1086327;1086941;-;cds;0;0;rsxA;electron transport complex subunit RsxA
NC_002505.1;N16961_05130;1087790;1088020;+;cds;0;0;;hypothetical protein
NC_002505.1;N16961_05135;1088017;1089819;+;cds;0;0;uvrB;excinuclease ABC subunit UvrB
NC_002505.1;N16961_00555;108920;109468;+;cds;0;0;yihI;Der GTPase-activating protein YihI
NC_002505.1;N16961_05145;1090208;1091617;+;cds;0;0;luxO;quorum-sensing sigma-54 dependent transcriptional regulator LuxO
NC_002505.1;N16961_05150;1091621;1091962;+;cds;0;0;luxU;quorum-sensing phosphorelay protein LuxU
NC_002505.1;N16961_05155;1091951;1092841;-;cds;0;0;cofD;Putative gluconeogenesis factor
NC_002505.1;N16961_05160;1093147;1094136;+;cds;0;0;moaA;GTP 3',8-cyclase MoaA
NC_002505.1;N16961_05165;1094196;1094708;+;cds;0;0;moaB;molybdenum cofactor biosynthesis protein B
NC_002505.1;N16961_05170;1094719;1095198;+;cds;0;0;moaC;cyclic pyranopterin monophosphate synthase MoaC
NC_002505.1;N16961_00560;109478;109966;+;cds;0;0;;DUF2489 domain-containing protein
NC_002505.1;N16961_05175;1095195;1095440;+;cds;0;0;moaD;molybdopterin synthase sulfur carrier subunit
NC_002505.1;N16961_05180;1095442;1095894;+;cds;0;0;moaE;molybdopterin synthase catalytic subunit MoaE
NC_002505.1;N16961_05185;1095909;1096883;-;cds;0;0;gGDEF;GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants
NC_002505.1;N16961_05190;1097112;1097528;+;cds;0;0;;CBS-domain-containing membrane protein
NC_002505.1;N16961_05195;1097641;1099947;+;cds;0;0;cadA;zinc/cadmium/mercury/lead-transporting ATPase
NC_002506.1;N16961_14260;110031;110681;-;cds;0;0;ycjU;Beta-phosphoglucomutase, HAD superfamily
NC_002505.1;N16961_05200;1100408;1101169;+;cds;0;0;udp;uridine phosphorylase
NC_002505.1;N16961_00565;110105;111493;+;cds;0;0;hemN;oxygen-independent coproporphyrinogen III oxidase
NC_002505.1;N16961_05205;1101242;1102057;-;cds;0;0;;Nitrate/nitrite sensing protein domain-containing protein
NC_002505.1;N16961_05210;1102361;1104412;-;cds;0;0;metG;methionine--tRNA ligase
NC_002505.1;N16961_05215;1104549;1105646;+;cds;0;0;apbC;iron-sulfur cluster carrier protein ApbC
NC_002505.1;N16961_05220;1105823;1106464;+;cds;0;0;udk;uridine kinase
NC_002505.1;N16961_05225;1106562;1108673;+;cds;0;0;asmA;Uncharacterized conserved protein AsmA involved in outer membrane biogenesis
NC_002505.1;N16961_05230;1108745;1109350;-;cds;0;0;cobO;cob(I)yrinic acid a,c-diamide adenosyltransferase
NC_002506.1;N16961_14265;110880;112649;+;cds;0;0;sUL1;Sulfate permease or related transporter, MFS superfamily
NC_002505.1;N16961_05235;1109436;1109903;+;cds;0;0;;protein-tyrosine-phosphatase
NC_002505.1;N16961_05240;1109930;1111228;-;cds;0;0;fadL;Long-chain fatty acid transport protein
NC_002505.1;N16961_00065;11103;13520;+;cds;0;0;gyrB;DNA topoisomerase (ATP-hydrolyzing) subunit B
NC_002505.1;N16961_05245;1111531;1112817;-;cds;0;0;fadL;Long-chain fatty acid transport protein
NC_002505.1;N16961_05250;1113077;1113808;-;cds;0;0;;DUF3379 domain-containing protein
NC_002505.1;N16961_05255;1113801;1114364;-;cds;0;0;rpoE;DNA-directed RNA polymerase specialized sigma subunit, sigma24 family
NC_002505.1;N16961_05260;1114895;1116202;+;cds;0;0;fadI;acetyl-CoA C-acyltransferase FadI
NC_002505.1;N16961_00570;111557;112753;-;cds;1;13.86809;hemY;Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY)
NC_002505.1;N16961_05265;1116202;1118328;+;cds;0;0;fadJ;fatty acid oxidation complex subunit alpha FadJ
NC_002505.1;N16961_05270;1118454;1119002;+;cds;0;0;nfnB;NAD(P)H nitroreductase
NC_002505.1;N16961_05275;1119081;1119956;-;cds;0;0;lysR;DNA-binding transcriptional regulator, LysR family
NC_002505.1;N16961_05280;1120204;1121295;+;cds;0;0;cheY;CheY-like REC (receiver) domain, includes chemotaxis protein CheY and sporulation regulator Spo0F
NC_002505.1;N16961_05285;1121465;1121596;+;cds;0;0;;hypothetical protein
NC_002505.1;N16961_05290;1121596;1121994;+;cds;0;0;ybaN;DUF454 domain-containing protein
NC_002505.1;N16961_05295;1122126;1122671;+;cds;0;0;apt;adenine phosphoribosyltransferase
NC_002505.1;N16961_05300;1122690;1124768;+;cds;0;0;dnaX;DNA polymerase III subunit gamma/tau
NC_002505.1;N16961_05305;1124839;1125168;+;cds;0;0;ybaB;YbaB/EbfC family nucleoid-associated protein
NC_002505.1;N16961_05310;1125183;1125785;+;cds;0;0;recR;recombination mediator RecR
NC_002505.1;N16961_05315;1125895;1126143;-;cds;0;0;;UPF0153 protein VC_1057
NC_002505.1;N16961_05320;1126281;1126718;+;cds;0;0;ycgN;YcgN family cysteine cluster protein
NC_002505.1;N16961_05325;1126812;1127555;-;cds;0;0;fabG;YciK family oxidoreductase
NC_002506.1;N16961_14270;112691;114403;-;cds;0;0;rluA;Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific
NC_002505.1;N16961_00575;112750;113949;-;cds;1;13.86809;hemX;Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)
NC_002505.1;N16961_05330;1127714;1128775;+;cds;0;0;sohB;protease SohB
NC_002505.1;N16961_05335;1128900;1129967;-;cds;0;0;cysK;Cysteine synthase
NC_002505.1;N16961_05340;1130089;1130547;+;cds;0;0;lrp;DNA-binding transcriptional regulator, Lrp family
NC_002505.1;N16961_05345;1130556;1131416;-;cds;0;0;tesB;acyl-CoA thioesterase II
NC_002505.1;N16961_05350;1131567;1131998;+;cds;0;0;ybaY;Uncharacterized lipoprotein YbaY
NC_002505.1;N16961_05355;1132052;1132354;-;cds;0;0;atl1;DNA base-flipping protein
NC_002505.1;N16961_05360;1132405;1133148;+;cds;0;0;;Integral membrane protein
NC_002505.1;N16961_05365;1133295;1135316;+;cds;0;0;gGDEF;GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants
NC_002506.1;N16961_13785;1134;3110;+;cds;0;0;;Translation elongation factor
NC_002505.1;N16961_05375;1135858;1136199;+;cds;0;0;arsR;DNA-binding transcriptional regulator, ArsR family
NC_002505.1;N16961_05380;1136296;1137297;+;cds;0;0;gap;ArsJ-associated glyceraldehyde-3-phosphate dehydrogenase
NC_002505.1;N16961_05385;1137311;1137808;+;cds;0;0;cDC14;Protein-tyrosine phosphatase
NC_002505.1;N16961_05390;1137853;1139082;+;cds;0;0;arsJ;organoarsenical effux MFS transporter ArsJ
NC_002505.1;N16961_00580;113933;114700;-;cds;0;0;hemD;uroporphyrinogen-III synthase
NC_002505.1;N16961_05395;1139733;1142912;+;cds;0;0;chiA;Chitinase, GH18 family
NC_002505.1;N16961_05400;1143002;1143832;-;cds;0;0;ydiL;Membrane protease YdiL, CAAX protease family
NC_002505.1;N16961_05405;1144116;1144658;+;cds;0;0;pEBP;Uncharacterized conserved protein, phosphatidylethanolamine-binding protein (PEBP) family
NC_002505.1;N16961_05410;1144671;1145510;+;cds;0;0;araC;AraC-type DNA-binding domain and AraC-containing proteins
NC_002505.1;N16961_05415;1145507;1145995;-;cds;0;0;;DUF4381 domain-containing protein
NC_002505.1;N16961_05420;1146259;1147248;-;cds;0;0;tsaC;L-threonylcarbamoyladenylate synthase
NC_002505.1;N16961_05425;1147494;1147859;+;cds;0;0;hPtr;HPt (histidine-containing phosphotransfer) domain
NC_002505.1;N16961_00585;114761;115696;-;cds;0;0;hemC;hydroxymethylbilane synthase
NC_002505.1;N16961_05430;1147856;1148998;+;cds;2;27.73617;hDOD;HD-like signal output (HDOD) domain, no enzymatic activity
NC_002505.1;N16961_05435;1149033;1149398;+;cds;0;0;yesN;Two-component response regulator, YesN/AraC family, consists of REC and AraC-type DNA-binding domains
NC_002505.1;N16961_05440;1149395;1149979;+;cds;0;0;cheC;Phosphoaspartate phosphatase CheC, specific for CheY-P
NC_002505.1;N16961_05445;1149990;1151309;+;cds;0;0;;Signal transduction histidine kinase regulating C4-dicarboxylate transport system
NC_002505.1;N16961_05450;1151321;1152625;+;cds;0;0;;Signal transduction histidine kinase regulating C4-dicarboxylate transport system
NC_002506.1;N16961_14275;115142;115426;+;cds;0;0;pAAR;Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, involved in Type VI secretion
NC_002505.1;N16961_05455;1152625;1154235;+;cds;0;0;atoC;DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains
NC_002506.1;N16961_14280;115371;116414;+;cds;0;0;;Sel1 repeat family protein
NC_002505.1;N16961_05460;1154258;1155595;+;cds;0;0;rpfG;Response regulator c-di-GMP phosphodiesterase, RpfG family, contains REC and HD-GYP domains
NC_002505.1;N16961_05465;1155624;1157228;-;cds;0;0;;Signal transduction histidine kinase regulating C4-dicarboxylate transport system
NC_002505.1;N16961_05470;1157232;1158044;-;cds;0;0;phnD;ABC-type phosphate/phosphonate transport system, periplasmic component
NC_002505.1;N16961_05475;1158668;1160299;+;cds;0;0;oppA;ABC-type oligopeptide transport system, periplasmic component
NC_002505.1;N16961_00590;115930;118584;+;cds;0;0;cyaA;class I adenylate cyclase
NC_002505.1;N16961_05480;1160448;1161368;+;cds;0;0;oppB;oligopeptide ABC transporter permease OppB
NC_002505.1;N16961_05485;1161382;1162284;+;cds;0;0;oppC;oligopeptide ABC transporter permease OppC
NC_002505.1;N16961_05490;1162312;1163283;+;cds;0;0;oppD;ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
NC_002505.1;N16961_05495;1163280;1164272;+;cds;0;0;oppF;murein tripeptide/oligopeptide ABC transporter ATP binding protein OppF
NC_002505.1;N16961_05500;1164422;1165369;+;cds;0;0;eCM4;Glutathionyl-hydroquinone reductase
NC_002505.1;N16961_05505;1165467;1167611;-;cds;0;0;pta;phosphate acetyltransferase
NC_002505.1;N16961_05510;1167747;1168943;-;cds;0;0;ackA1;Acetate kinase 1
NC_002506.1;N16961_14285;116846;117352;+;cds;0;0;tssB;type VI secretion system tubule-forming protein VipA
NC_002505.1;N16961_05515;1169296;1169748;+;cds;0;0;yfbV;terminus macrodomain insulation protein YfbV
NC_002505.1;N16961_05520;1169871;1170281;-;cds;0;0;;DUF2132 domain-containing protein
