# Annotated with Bakta
# Software: v1.9.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	ncRNA	7922	8002	-	N16961_00050	asdA	antisense RNA of dnaA mRNA	RFAM:RF02674, SO:0000644
contig_1	cds	8873	9973	+	N16961_00055	dnaN	DNA polymerase III subunit beta	COG:COG0592, COG:L, EC:2.7.7.7, GO:0003677, GO:0003887, GO:0005737, GO:0006260, GO:0006271, GO:0008408, GO:0009360, KEGG:K02338, RefSeq:WP_000673176.1, SO:0001217, UniParc:UPI0000129711, UniRef:UniRef100_Q9KVX5, UniRef:UniRef50_P43744, UniRef:UniRef90_Q9KVX5
contig_1	cds	9991	11082	+	N16961_00060	recF	DNA replication/repair protein RecF	COG:COG1195, COG:L, GO:0003697, GO:0005524, GO:0005737, GO:0006260, GO:0006281, GO:0009432, RefSeq:WP_001884355.1, SO:0001217, UniParc:UPI0000133572, UniRef:UniRef100_A5F493, UniRef:UniRef50_Q8Z9U9, UniRef:UniRef90_A5F493
contig_1	cds	11103	13520	+	N16961_00065	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	COG:COG0187, COG:L, EC:5.6.2.2, GO:0003677, GO:0003918, GO:0005524, GO:0005694, GO:0005737, GO:0006261, GO:0006265, GO:0009330, GO:0046872, KEGG:K02470, RefSeq:WP_000070020.1, SO:0001217, UniParc:UPI000012BEDE, UniRef:UniRef100_Q9KVX3, UniRef:UniRef50_P0AES7, UniRef:UniRef90_Q9KVX3
contig_1	cds	13945	14367	+	N16961_00070		Transcription elongation factor GreA/GreB C-terminal domain-containing protein	RefSeq:WP_000934723.1, SO:0001217, UniParc:UPI0001B1A646, UniRef:UniRef100_A0A0H7BQW4, UniRef:UniRef50_D2YFE1, UniRef:UniRef90_D0IEJ3
contig_1	cds	14377	14493	+	N16961_00075		hypothetical protein	RefSeq:WP_000043135.1, SO:0001217, UniParc:UPI00000C2B91, UniRef:UniRef100_A0A085S9Q3, UniRef:UniRef50_A0A1D8S7A4, UniRef:UniRef90_A0A1D8S7A4
contig_1	cds	14769	15206	+	N16961_00080	ibpA	Small heat shock protein IbpA, HSP20 family	COG:COG0071, COG:O, KEGG:K04080, RefSeq:WP_001261062.1, SO:0001217, UniParc:UPI00000C2B92, UniRef:UniRef100_A0A085Q816, UniRef:UniRef50_C5BTI2, UniRef:UniRef90_A0A085Q816
contig_1	cds	15294	16550	-	N16961_00085	avtA	valine--pyruvate transaminase	COG:COG3977, COG:E, EC:2.6.1.66, GO:0030170, KEGG:K00835, RefSeq:WP_001200164.1, SO:0001217, UniParc:UPI00000C2B93, UniRef:UniRef100_A0A0H3Q5K3, UniRef:UniRef50_P09053, UniRef:UniRef90_A0A656A1A8
contig_1	ncRNA	16674	16798	-	N16961_00090	V_AS5	Vibrio RNA AS5	RFAM:RF02818, SO:0000655
contig_1	cds	16869	18935	-	N16961_00095	glyS	Glycine--tRNA ligase beta subunit	COG:COG0751, COG:J, EC:6.1.1.14, GO:0004814, GO:0004820, GO:0005524, GO:0005737, GO:0006420, GO:0006426, RefSeq:WP_001040221.1, SO:0001217, UniParc:UPI00001364AD, UniRef:UniRef100_A5F487, UniRef:UniRef50_Q5E8Y5, UniRef:UniRef90_A5F487
contig_1	cds	18950	19867	-	N16961_00100	glyQ	glycine--tRNA ligase subunit alpha	COG:COG0752, COG:J, EC:6.1.1.14, GO:0000166, GO:0004820, GO:0005524, GO:0005737, GO:0006426, RefSeq:WP_001174901.1, SO:0001217, UniParc:UPI000013648B, UniRef:UniRef100_Q9KVW7, UniRef:UniRef50_Q9KVW7, UniRef:UniRef90_Q9KVW7
contig_1	ncRNA-region	20081	20190	+			yybP-ykoY manganese riboswitch	RFAM:RF00080, SO:0000035
contig_1	cds	20283	20837	+	N16961_00105	mneA	Putative manganese exporter	COG:COG2119, COG:R, GO:0005886, GO:0006811, KEGG:K23541, RefSeq:WP_000114370.1, SO:0001217, UniParc:UPI00005F327F, UniRef:UniRef100_Q9KVW6, UniRef:UniRef50_A0A0H3AJF5, UniRef:UniRef90_A0A0H3AJF5
contig_1	cds	20943	21200	+	N16961_00110		NADH dehydrogenase subunit II-related protein	RefSeq:WP_000958000.1, SO:0001217, UniParc:UPI00000C2B95, UniRef:UniRef100_A0A0H7GD73, UniRef:UniRef50_A0A2J8HAJ4, UniRef:UniRef90_A0A395UC52
contig_1	cds	21287	21535	-	N16961_00115	tusA	sulfurtransferase TusA	COG:COG0425, COG:JHO, EC:2.8.1.-, GO:0002143, GO:0005737, GO:0097163, RefSeq:WP_000143763.1, SO:0001217, UniParc:UPI00001359AE, UniRef:UniRef100_A5F4A1, UniRef:UniRef50_Q89AB9, UniRef:UniRef90_A5F4A1
contig_1	cds	21671	21856	+	N16961_00120		Holin	RefSeq:WP_000958278.1, SO:0001217, UniParc:UPI000157DBAB, UniRef:UniRef100_D7HH29, UniRef:UniRef50_A0A0H3Q6V8, UniRef:UniRef90_A0A0H3Q6V8
contig_1	cds	22028	23008	-	N16961_00125	qor	NADPH:quinone reductase or related Zn-dependent oxidoreductase	COG:COG0604, COG:CR, EC:1.3.1.-, KEGG:K19745, RefSeq:WP_000481249.1, SO:0001217, UniParc:UPI00000C2B97, UniRef:UniRef100_A0A0H7GZQ9, UniRef:UniRef50_Q5LS56, UniRef:UniRef90_A0A0H7GZQ9
contig_1	cds	23256	24788	-	N16961_00130	ilvA	threonine ammonia-lyase, biosynthetic	COG:COG1171, COG:E, EC:4.3.1.19, GO:0004794, GO:0009097, RefSeq:WP_000524712.1, SO:0001217, UniParc:UPI00000C2B98, UniRef:UniRef100_A0A0H3Q6Q1, UniRef:UniRef50_P04968, UniRef:UniRef90_A0A0X8LPD8
contig_1	cds	24792	26633	-	N16961_00135	ilvD	dihydroxy-acid dehydratase	COG:COG0129, COG:EG, EC:4.2.1.9, GO:0000287, GO:0004160, GO:0009082, GO:0009097, GO:0009099, GO:0051537, RefSeq:WP_001127457.1, SO:0001217, UniParc:UPI000012D594, UniRef:UniRef100_A5F497, UniRef:UniRef50_Q8FBR5, UniRef:UniRef90_A5F497
contig_1	cds	26643	27581	-	N16961_00140	ilvE	branched-chain-amino-acid transaminase	COG:COG0115, COG:EH, EC:2.6.1.42, GO:0004084, GO:0009082, RefSeq:WP_000201999.1, SO:0001217, UniParc:UPI00005F3281, UniRef:UniRef100_A0A0H8QRK5, UniRef:UniRef50_P0A1A6, UniRef:UniRef90_A0A0N8VBA8
contig_1	cds	27593	27877	-	N16961_00145	ilvM	acetolactate synthase 2 small subunit	COG:COG3978, COG:E, EC:2.2.1.6, RefSeq:WP_001190200.1, SO:0001217, UniParc:UPI00000C2B9A, UniRef:UniRef100_A0A0E4CC44, UniRef:UniRef50_A0A191W0H0, UniRef:UniRef90_A0A0E4CC44
contig_1	cds	27889	29535	-	N16961_00150	ilvG	acetolactate synthase 2 catalytic subunit	COG:COG0028, COG:EH, EC:2.2.1.6, GO:0000287, GO:0003984, GO:0009082, GO:0030976, GO:0050660, RefSeq:WP_000145255.1, SO:0001217, UniParc:UPI00000C2B9B, UniRef:UniRef100_A0A0H6USU4, UniRef:UniRef50_Q5E1P5, UniRef:UniRef90_A0A0H3AJ99
contig_1	cds	30069	31592	+	N16961_00155	yifB	YifB family Mg chelatase-like AAA ATPase	COG:COG0606, COG:O, GO:0005524, RefSeq:WP_000521788.1, SO:0001217, UniParc:UPI00000C2B9C, UniRef:UniRef100_A0A0H6D0Y7, UniRef:UniRef50_A0A2S7ERK6, UniRef:UniRef90_D7HH22
contig_1	cds	31682	32566	+	N16961_00160	plsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	COG:COG0204, COG:I, RefSeq:WP_000881907.1, SO:0001217, UniParc:UPI00000C2B9D, UniRef:UniRef100_A0A0H6NUY4, UniRef:UniRef50_K1JX80, UniRef:UniRef90_A0A0H6NUY4
contig_1	cds	32644	33246	-	N16961_00165	dsbA	Thiol:disulfide interchange protein DsbA	COG:COG1651, COG:O, GO:0016491, GO:0042597, RefSeq:WP_000732279.1, SO:0001217, UniParc:UPI00001298C3, UniRef:UniRef100_P32557, UniRef:UniRef50_P32557, UniRef:UniRef90_P32557
contig_1	cds	33277	34281	-	N16961_00170	srkA	serine/threonine protein kinase	COG:COG2334, COG:T, EC:2.7.11.1, GO:0004674, GO:0006468, SO:0001217, UniRef:UniRef50_Q8ZKU8, UniRef:UniRef90_A0A0Q0TMI5
contig_1	cds	34311	35735	-	N16961_00175	ccoG	cytochrome c oxidase accessory protein CcoG	COG:C, COG:COG0348, GO:0003674, GO:0008535, RefSeq:WP_000076153.1, SO:0001217, UniParc:UPI00005F3284, UniRef:UniRef100_A0A656AR18, UniRef:UniRef50_Q5E1Q0, UniRef:UniRef90_A0A7Z7VMA9
contig_1	ncRNA	36003	36127	-	N16961_00180	V_AS5	Vibrio RNA AS5	RFAM:RF02818, SO:0000655
contig_1	cds	36152	36418	-	N16961_00185	yihD	DUF1040 domain-containing protein	COG:COG3084, COG:S, RefSeq:WP_000649654.1, SO:0001217, UniParc:UPI00005F3285, UniRef:UniRef100_A0A0H3Q6P3, UniRef:UniRef50_Q6LLI5, UniRef:UniRef90_A0A0Q2SAQ0
contig_1	cds	36979	37770	+	N16961_00190	spo0M	Stage 0 sporulation-control protein Spo0M	COG:COG4326, COG:D, RefSeq:WP_000008126.1, SO:0001217, UniParc:UPI00005F3287, UniRef:UniRef100_A0A2V4N8Z7, UniRef:UniRef50_A7N110, UniRef:UniRef90_D7HH15
contig_1	cds	37854	38495	+	N16961_00195	yqfA	hemolysin III family protein	COG:COG1272, COG:U, GO:0019835, RefSeq:WP_000072082.1, SO:0001217, UniParc:UPI00005F3288, UniRef:UniRef100_A0A2A1YQT3, UniRef:UniRef50_A1S6R1, UniRef:UniRef90_D0IEG9
contig_1	cds	38534	39091	-	N16961_00200		DUF3157 domain-containing protein	RefSeq:WP_000733640.1, SO:0001217, UniParc:UPI00005F3289, UniRef:UniRef100_A0A0H3QEB5, UniRef:UniRef50_D0IEG8, UniRef:UniRef90_D7HH13
contig_1	cds	39103	40548	-	N16961_00205	trkG	Trk-type K+ transport system, membrane component	COG:COG0168, COG:P, RefSeq:WP_000933527.1, SO:0001217, UniParc:UPI00000C2BA5, UniRef:UniRef100_A0A085Q817, UniRef:UniRef50_A0A085Q817, UniRef:UniRef90_A0A085Q817
contig_1	cds	40560	41936	-	N16961_00210	trkA	Trk system potassium transporter TrkA	COG:COG0569, COG:PT, GO:0005886, GO:0006813, GO:0015079, GO:0016020, RefSeq:WP_000691366.1, SO:0001217, UniParc:UPI00000C2BA6, UniRef:UniRef100_A0A0H3QA38, UniRef:UniRef50_P39448, UniRef:UniRef90_P39448
contig_1	cds	41998	43278	-	N16961_00215	rsmB	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	COG:COG0781, COG:K, EC:2.1.1.176, GO:0001510, GO:0003723, GO:0005829, GO:0006355, GO:0006364, GO:0008649, GO:0009383, GO:0070475, RefSeq:WP_001102807.1, SO:0001217, UniParc:UPI00005F37EC, UniRef:UniRef100_Q9KVU5, UniRef:UniRef50_Q8ZLM5, UniRef:UniRef90_Q9KVU5
contig_1	cds	43334	44281	-	N16961_00220	fmt	methionyl-tRNA formyltransferase	COG:COG0223, COG:J, EC:2.1.2.9, GO:0004479, GO:0005737, GO:0006431, RefSeq:WP_000083540.1, SO:0001217, UniParc:UPI000012AB16, UniRef:UniRef100_A5F4B4, UniRef:UniRef50_A5F4B4, UniRef:UniRef90_A5F4B4
contig_1	cds	44299	44808	-	N16961_00225	def	peptide deformylase	COG:COG0242, COG:J, EC:3.5.1.88, GO:0006412, GO:0036211, GO:0042586, GO:0043686, GO:0046872, RefSeq:WP_000115010.1, SO:0001217, UniParc:UPI0000129105, UniRef:UniRef100_Q9KVU3, UniRef:UniRef50_Q9KVU3, UniRef:UniRef90_Q9KVU3
contig_1	cds	44948	46075	+	N16961_00230	xkdP	Cytoplasmic potassium-binding protein Kbp/XkdP/YgaU, contains LysM domain	COG:COG1652, COG:P, RefSeq:WP_000113383.1, SO:0001217, UniParc:UPI00005F328B, UniRef:UniRef100_A0A2V4P588, UniRef:UniRef50_Q7MGK7, UniRef:UniRef90_C3LPC0
contig_1	cds	46075	47190	+	N16961_00235	dprA	DNA-processing protein DprA	COG:COG0758, COG:L, GO:0009294, RefSeq:WP_000654772.1, SO:0001217, UniParc:UPI00000C2BA9, UniRef:UniRef100_A0A0H3QA34, UniRef:UniRef50_A0A1R4B7B4, UniRef:UniRef90_A0A0H3QA34
contig_1	cds	47193	47669	+	N16961_00240	smg	DUF494 domain-containing protein	COG:COG2922, COG:S, KEGG:K03747, RefSeq:WP_000979769.1, SO:0001217, UniParc:UPI0000135AA8, UniRef:UniRef100_A5F4C9, UniRef:UniRef50_Q8EKQ5, UniRef:UniRef90_A5F4C9
contig_1	cds	47685	48251	+	N16961_00245		Uncharacterized C-terminal domain of topoisomerase IA	COG:COG1754, COG:S, RefSeq:WP_000087525.1, SO:0001217, UniParc:UPI00005F328C, UniRef:UniRef100_A0A0H3Q6T3, UniRef:UniRef50_A8TA90, UniRef:UniRef90_A0A0H3Q6T3
contig_1	cds	48324	49457	-	N16961_00250	purK	5-(carboxyamino)imidazole ribonucleotide synthase	COG:COG0026, COG:F, EC:6.3.4.18, GO:0004638, GO:0005524, GO:0005829, GO:0006189, GO:0034028, GO:0046872, RefSeq:WP_001265400.1, SO:0001217, UniParc:UPI00000C2BAB, UniRef:UniRef100_Q9KVT8, UniRef:UniRef50_Q9KVT8, UniRef:UniRef90_Q9KVT8
contig_1	cds	49461	49946	-	N16961_00255	purE	N5-carboxyaminoimidazole ribonucleotide mutase	COG:COG0041, COG:F, EC:5.4.99.18, GO:0006189, GO:0034023, RefSeq:WP_000215768.1, SO:0001217, UniParc:UPI00000D1017, UniRef:UniRef100_Q9KVT7, UniRef:UniRef50_P12044, UniRef:UniRef90_Q9KVT7
contig_1	cds	50113	50670	+	N16961_00260	tsaC	L-threonylcarbamoyladenylate synthase	COG:COG0009, COG:J, EC:2.7.7.87, GO:0000049, GO:0002949, GO:0003725, GO:0005524, GO:0005737, GO:0006400, GO:0006450, GO:0016779, GO:0061710, RefSeq:WP_001911770.1, SO:0001217, UniParc:UPI0001B1A634, UniRef:UniRef100_A0A655TVL8, UniRef:UniRef50_Q87KE2, UniRef:UniRef90_A5F4C5
contig_1	cds	50689	51606	+	N16961_00265	hemF	oxygen-dependent coproporphyrinogen oxidase	COG:COG0408, COG:H, EC:1.3.3.3, GO:0004109, GO:0005737, GO:0006779, GO:0006782, GO:0042803, GO:0046872, RefSeq:WP_000443976.1, SO:0001217, UniParc:UPI000012C4BF, UniRef:UniRef100_A5F4C4, UniRef:UniRef50_P84155, UniRef:UniRef90_A5F4C4
contig_1	cds	51668	52504	+	N16961_00270	aroE	shikimate dehydrogenase	COG:COG0169, COG:E, EC:1.1.1.25, GO:0004764, GO:0008652, GO:0009073, GO:0009423, GO:0019632, GO:0050661, RefSeq:WP_000168154.1, SO:0001217, UniParc:UPI0000125FFC, UniRef:UniRef100_A5F4C3, UniRef:UniRef50_Q2YBM5, UniRef:UniRef90_A5F4C3
contig_1	cds	52501	52776	+	N16961_00275		Transcriptional regulator	RefSeq:WP_001076442.1, SO:0001217, UniParc:UPI00000C2BAC, UniRef:UniRef100_A0A085Q7W7, UniRef:UniRef50_Q6LLK2, UniRef:UniRef90_D0IEF3
contig_1	cds	52757	53308	-	N16961_00280	paaY	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	COG:COG0663, COG:R, RefSeq:WP_000095100.1, SO:0001217, UniParc:UPI0000E6A27D, UniRef:UniRef100_A0A0H3Q6M8, UniRef:UniRef50_E0SIT1, UniRef:UniRef90_A0A0H3AJS4
contig_1	rRNA	53816	55358	+	N16961_00285	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
contig_1	tRNA	55421	55496	+	N16961_00290	trnA	tRNA-Ala(ggc)	SO:0000254
contig_1	rRNA	55784	58670	+	N16961_00295	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_1	rRNA	58800	58915	+	N16961_00300	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_1	tRNA	58941	59017	+	N16961_00305	trnD	tRNA-Asp(gtc)	SO:0000256
contig_1	tRNA	59047	59123	+	N16961_00310	trnW	tRNA-Trp(cca)	SO:0000271
contig_1	cds	59356	59736	+	N16961_00315	crcB	fluoride efflux transporter CrcB	COG:COG0239, COG:DP, GO:0005886, GO:0046872, GO:0062054, GO:0140114, RefSeq:WP_000006444.1, SO:0001217, UniParc:UPI0000128401, UniRef:UniRef100_A5F4D3, UniRef:UniRef50_Q87KE9, UniRef:UniRef90_A5F4D3
contig_1	ncRNA-region	59789	59887	+			TPP riboswitch (THI element)	RFAM:RF00059, SO:0000035
contig_1	cds	59988	61925	+	N16961_00320	thiC	phosphomethylpyrimidine synthase ThiC	COG:COG0422, COG:H, EC:4.1.99.17, GO:0008270, GO:0009228, GO:0009229, GO:0016830, GO:0051536, GO:0051539, RefSeq:WP_000071109.1, SO:0001217, UniParc:UPI0000136DB8, UniRef:UniRef100_A5F4D2, UniRef:UniRef50_Q2Y6P4, UniRef:UniRef90_A5F4D2
contig_1	cds	61929	63251	+	N16961_00325	thiE	thiamine phosphate synthase	COG:COG0352, COG:H, EC:2.5.1.3, GO:0003824, RefSeq:WP_000251961.1, SO:0001217, UniParc:UPI00000C2BAF, UniRef:UniRef100_A0A0H6SKR6, UniRef:UniRef50_A0A0H3ALN1, UniRef:UniRef90_A0A0H3ALN1
contig_1	cds	63238	64014	+	N16961_00330	thiF	thiazole biosynthesis adenylyltransferase ThiF	COG:COG0476, COG:H, GO:0009228, GO:0016779, RefSeq:WP_000954515.1, SO:0001217, UniParc:UPI00000C2BB0, UniRef:UniRef100_A0A0H6KER6, UniRef:UniRef50_A0A0H6KER6, UniRef:UniRef90_A0A0H6KER6
contig_1	cds	64008	64214	+	N16961_00335	thiS	sulfur carrier protein ThiS	GO:0003824, GO:0009228, SO:0001217, UniParc:UPI0001BAD9F1, UniRef:UniRef100_A0A085SU43, UniRef:UniRef50_A0A0X8LPH2, UniRef:UniRef90_A0A085SU43
contig_1	cds	64220	64990	+	N16961_00340	thiG	Thiazole synthase	COG:COG2022, COG:H, EC:2.8.1.10, GO:0005737, GO:0009229, GO:1990107, RefSeq:WP_000912209.1, SO:0001217, UniParc:UPI0000136E00, UniRef:UniRef100_A5F4E2, UniRef:UniRef50_Q317X8, UniRef:UniRef90_A5F4E2
contig_1	cds	64987	66099	+	N16961_00345	thiH	2-iminoacetate synthase ThiH	COG:COG1060, COG:H, EC:4.1.99.19, GO:0009228, GO:0016829, GO:1904047, KEGG:K03150, RefSeq:WP_000008477.1, SO:0001217, UniParc:UPI00000C2BB2, UniRef:UniRef100_A0A0H6W0A3, UniRef:UniRef50_Q9S498, UniRef:UniRef90_A0A0H6W0A3
contig_1	cds	66324	68117	-	N16961_00350	pepP	Xaa-Pro aminopeptidase	COG:COG0006, COG:E, RefSeq:WP_000067249.1, SO:0001217, UniParc:UPI00000C2BB3, UniRef:UniRef100_A0A0H6L0H1, UniRef:UniRef50_A0A0H6L0H1, UniRef:UniRef90_A0A0H6L0H1
contig_1	cds	68250	69191	-	N16961_00355	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, RefSeq:WP_001165357.1, SO:0001217, UniParc:UPI00005F33F6, UniRef:UniRef100_A0A0H6ENL1, UniRef:UniRef50_Q5E8W1, UniRef:UniRef90_A0A655YV27
contig_1	cds	69296	70498	+	N16961_00360	araJ	putative arabinose efflux permease AraJ, MFS family	COG:COG2814, COG:G, KEGG:K07552, SO:0001217, UniParc:UPI00000C2BB5, UniRef:UniRef100_A0A0E4CCC2, UniRef:UniRef50_A0A3R9DZ21, UniRef:UniRef90_A0A0E4CCC2
contig_1	cds	70602	70886	+	N16961_00365		Transcriptional regulator	RefSeq:WP_000060371.1, SO:0001217, UniParc:UPI00000C2BB6, UniRef:UniRef100_A0A1X1LD77, UniRef:UniRef50_A0A1B9PQZ8, UniRef:UniRef90_A0A191W7C7
contig_1	cds	70975	71436	-	N16961_00370	asnC	transcriptional regulator AsnC	COG:COG1522, COG:K, GO:0043565, RefSeq:WP_001195187.1, SO:0001217, UniParc:UPI00000C2BB7, UniRef:UniRef100_A0A085PZN8, UniRef:UniRef50_P0ACI8, UniRef:UniRef90_A0A085PZN8
contig_1	cds	71524	73818	+	N16961_00375	pAS	PAS domain	COG:COG2202, COG:T, SO:0001217, UniParc:UPI0002332348, UniRef:UniRef100_A0A655R5F4, UniRef:UniRef50_A0A0X8LPJ1, UniRef:UniRef90_A0A655R5F4
contig_1	cds	73878	74663	+	N16961_00380	rsmJ	Ribosomal RNA small subunit methyltransferase J	EC:2.1.1.242, GO:0005737, GO:0008990, RefSeq:WP_000908213.1, SO:0001217, UniParc:UPI0000470EA7, UniRef:UniRef100_Q9KVR6, UniRef:UniRef50_Q9KVR6, UniRef:UniRef90_Q9KVR6
contig_1	cds	74787	75170	+	N16961_00385		hypothetical protein	RefSeq:WP_001129197.1, SO:0001217, UniParc:UPI0001B1A65C, UniRef:UniRef100_A0A655ZMK4, UniRef:UniRef50_A0A6G8D341, UniRef:UniRef90_D7HGY1
contig_1	cds	75266	76153	-	N16961_00390	rhaT	carboxylate/amino acid/amine transporter	COG:COG0697, COG:GER, GO:0016020, RefSeq:WP_000262779.1, SO:0001217, UniParc:UPI00000C2BBB, UniRef:UniRef100_A0A0F2TTU0, UniRef:UniRef50_O68826, UniRef:UniRef90_D2YGT0
contig_1	cds	76210	76635	-	N16961_00395	uspA	Nucleotide-binding universal stress protein, UspA family	COG:COG0589, COG:T, RefSeq:WP_000121736.1, SO:0001217, UniParc:UPI00000C2BBC, UniRef:UniRef100_A0A1X1LD27, UniRef:UniRef50_Q8ZA49, UniRef:UniRef90_A0A1X1LD27
contig_1	cds	76800	77327	+	N16961_00400	ftnA	non-heme ferritin	COG:COG1528, COG:P, EC:1.16.3.2, GO:0006879, GO:0008199, RefSeq:WP_000951035.1, SO:0001217, UniParc:UPI00005F333D, UniRef:UniRef100_A0A0H3QE73, UniRef:UniRef50_P43707, UniRef:UniRef90_A0A1Q1GUW7
contig_1	cds	77403	77726	+	N16961_00405	uspB	universal stress protein UspB	GO:0005886, KEGG:K06144, RefSeq:WP_000623073.1, SO:0001217, UniParc:UPI00000C2BBF, UniRef:UniRef100_A5F4E9, UniRef:UniRef50_Q87TJ1, UniRef:UniRef90_A5F4E9
contig_1	cds	77868	79055	+	N16961_00410	yhiN	putative flavoprotein YhiN	COG:COG2081, COG:R, RefSeq:WP_000047956.1, SO:0001217, UniParc:UPI00005F333C, UniRef:UniRef100_A0A2V4P8W0, UniRef:UniRef50_P37631, UniRef:UniRef90_A0A0H3AGG0
contig_1	cds	79052	79963	-	N16961_00415	rhaT	Permease of the drug/metabolite transporter (DMT) superfamily	COG:COG0697, COG:GER, RefSeq:WP_001003303.1, SO:0001217, UniParc:UPI00000C2BC0, UniRef:UniRef100_A0A0H6EV80, UniRef:UniRef50_Q87TH6, UniRef:UniRef90_D7HGW1
contig_1	cds	80086	81618	+	N16961_00420	rmuC	DNA recombination RmuC-like protein	COG:COG1322, COG:L, GO:0006310, KEGG:K09760, RefSeq:WP_001198579.1, SO:0001217, UniParc:UPI00005F333B, UniRef:UniRef100_Q9KVQ7, UniRef:UniRef50_Q9KVQ7, UniRef:UniRef90_Q9KVQ7
